Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,CB Rank (Company),Number of Funding Rounds,LinkedIn,Website,Founders
PlanetScale,https://www.crunchbase.com/organization/planetscale,"Database, Information Technology, Software","Mountain View, California, United States","PlanetScale builds a database-as-a-service offering on Vitess, an open source sharding middleware system for MySQL.",22000000,USD,22000000,Series A,"4,874",2,https://www.linkedin.com/company/planetscale/,http://planetscale.com/,"Jitendra Vaidya, Sugu Sougoumarane"
Lightmatter,https://www.crunchbase.com/organization/lightmatter-inc,"Artificial Intelligence, Hardware, Machine Learning, Software","Boston, Massachusetts, United States",Lightmatter is an AI hardware company that uses integrated optical technology.,22000000,USD,22000000,Series A,"45,231",2,https://www.linkedin.com/company/18377405/,https://lightmatter.co/,"Darius Bunandar, Nicholas Harris, Thomas Graham"
Streamlit,https://www.crunchbase.com/organization/streamlit,"Computer Vision, Machine Learning, Software","San Francisco, California, United States",Streamlit is an open-source app framework that includes artificial intelligence and machine learning to build predictive models.,21000000,USD,21000000,Series A,387,2,https://www.linkedin.com/company/streamlit/,https://www.streamlit.io,"Adrien Treuille, Amanda Kelly, Thiago Teixeira"
Anyscale,https://www.crunchbase.com/organization/anyscale,"Developer Platform, Information Technology, Open Source, Software","Berkeley, California, United States",Anyscale provides an application development platform for developers to build distributed applications.,20600000,USD,20600000,Series A,"4,676",1,https://www.linkedin.com/company/joinanyscale/,https://anyscale.com/,"Ion Stoica, Michael I. ​ Jordan, Philipp Moritz, Robert Nishihara"
Nightfall AI,https://www.crunchbase.com/organization/nightfall-ai,"Artificial Intelligence, Machine Learning, SaaS","San Francisco, California, United States","Nightfall identifies business-critical data across SaaS, APIs, and data infrastructure so it can be managed and protected.",20300000,USD,20300000,Series A,"2,889",1,https://www.linkedin.com/company/nightfall-ai/,https://www.nightfall.ai/,"Isaac Madan, Rohan Sathe"
Alpha Health,https://www.crunchbase.com/organization/alpha-health,"Health Care, Software","San Francisco, California, United States",Alpha Health provides Unified Automation to revenue cycle management (RCM) teams at health systems.,20000000,USD,20000000,Series A,854,2,https://www.linkedin.com/company/alphahealthai/,https://alphahealth.com/,
Tecton,https://www.crunchbase.com/organization/tecton,"Artificial Intelligence, Big Data, Cloud Data Services, Machine Learning, Predictive Analytics, Software","San Francisco, California, United States","The data platform for machine learning, from the creators of Uber Michelangelo. Build a library of great features, serve them in production.",20000000,USD,20000000,Series A,"2,663",2,https://www.linkedin.com/company/tectonai,https://tecton.ai/,"Jeremy Hermann, Kevin Stumpf, Mike Del Balso"
Oxide Computer Company,https://www.crunchbase.com/organization/oxide,"Cloud Infrastructure, Computer, Embedded Systems, Enterprise, Hardware, Information Technology, Software","Emeryville, California, United States",Oxide Computer Company is a developer of cloud hyperscale technology intended to build a new kind of server.,20000000,USD,20000000,Seed,"7,816",1,https://www.linkedin.com/company/oxidecomputer/,https://oxide.computer,"Bryan Cantrill, Jessie Frazelle, Steve Tuck"
DataGuard,https://www.crunchbase.com/organization/dataco-gmbh,"Compliance, Legal, SaaS, Security, Software","Munich, Bayern, Germany",DataGuard is a Privacy-as-a-Service company that enables organizations to become and remain compliant with the existing privacy regulation.,20000000,USD,20000000,Series A,"8,439",1,https://www.linkedin.com/company/18452093/,http://www.dataguard.de,"Kıvanc Semen, Markus Fisseler, Thomas Regier"
Twin Health,https://www.crunchbase.com/organization/twins-digital,"Artificial Intelligence, Health Care, Internet of Things, Machine Learning, Medical, Nutrition, Software","Mountain View, California, United States","Twin Health is a Precision Health platform combining IoT Sensors, Machine Learning, and Medical Science to improve human metabolic health.",18000000,USD,18000000,Series A,"1,243",1,,http://twinhealth.com,"Jahangir Mohammed, Terrence Poon"
Docly International AB,https://www.crunchbase.com/organization/docly-international-ab,"Health Care, Information Technology, Software","Malmö, Skane Lan, Sweden",Digital Healthcare Developer and Provider,15500000,EUR,17537765,Seed,"19,460",1,https://www.linkedin.com/company/docly-healthcare/,http://www.docly.com,"Fredrik Meurling, Laurens Leurink, Magnus Nyhlén"
Persona,https://www.crunchbase.com/organization/persona-188f,"Cyber Security, FinTech, Fraud Detection, Identity Management, Information Technology, SaaS","San Francisco, California, United States",Persona enables business to verify customer identities that brings trust to online interactions.,17500000,USD,17500000,Series A,"3,543",4,https://www.linkedin.com/company/persona-identities/about/,https://withpersona.com/,"Charles Yeh, Rick Song"
Metropolis,https://www.crunchbase.com/organization/metropolis-db86,"Internet, Real Estate, Software","Los Angeles, California, United States",Metropolis is a technology start-up that builds the technological infrastructure to facilitate the future of mobility.,17500000,USD,17500000,Seed,"9,307",1,https://www.linkedin.com/company/metropolisio/,http://www.metropolis.io,"Alexander Israel, Courtney Fukuda, Peter Fisher, Travis Kell"
One,https://www.crunchbase.com/organization/safecorp-technology,"Banking, Financial Services, FinTech, Software","Sacramento, California, United States",One is a provider of banking services intended to make banking experience better.,17000000,USD,17000000,Series A,"5,823",2,https://www.linkedin.com/company/onefinancehq,https://www.onefinance.com,"Bill Harris, Brian Hamilton"
Netdata,https://www.crunchbase.com/organization/netdata,"Enterprise Software, Information Technology, Internet of Things, IT Infrastructure, Software","Redwood City, California, United States","Netdata is a dynamic, real-time performance monitoring and troubleshooting platform.",17000000,USD,17000000,Series A,"6,052",3,https://www.linkedin.com/company/my-netdata.io/,https://www.netdata.cloud,Costa Tsaoussis
Epsagon,https://www.crunchbase.com/organization/epsagon,"Analytics, Cloud Infrastructure, Information Technology, SaaS, Software","New York, New York, United States",Epsagon provides automated monitoring and tracing for microservices cloud-based applications.,16000000,USD,16000000,Series A,"1,929",2,https://www.linkedin.com/company/epsagon/,https://www.epsagon.com,"Nitzan Shapira, Ran Ribenzaft"
Lively,https://www.crunchbase.com/organization/lively-8c08,"Health Care, Health Diagnostics, Medical, Software","New York, New York, United States","Lively’s mission is to democratize, simplify and de-stigmatize the adoption and use of technically advanced hearing aids.",16000000,USD,16000000,Series A,"6,808",1,https://www.linkedin.com/company/listenlively/about/,https://www.listenlively.com/,"Adam Karp, David Rust, Elad Kolet, Nicole Cadoret"
BRYTER,https://www.crunchbase.com/organization/bryter,"Compliance, Enterprise Software, Industrial Automation, Legal Tech, SaaS, Software","Berlin, Berlin, Germany",BRYTER is the leading no-code platform to automate expert knowledge.,16000000,USD,16000000,Series A,"10,260",3,https://www.linkedin.com/company/brytergmbh/,https://www.bryter.io/,Michael Grupp
evervault,https://www.crunchbase.com/organization/evervault,"Information Technology, Internet, Privacy, Security, Software","Dublin, Dublin, Ireland",Securing your most sensitive data,16000000,USD,16000000,Series A,"14,831",3,https://www.linkedin.com/company/evervault/,https://evervault.com/,Shane Curran
Alchemy,https://www.crunchbase.com/organization/alchemy-insights,"Artificial Intelligence, Blockchain, Developer APIs, Developer Platform, Developer Tools, Infrastructure, Software","San Francisco, California, United States",Alchemy provides the leading blockchain development platform powering millions of users in 197 countries worldwide.,15000000,USD,15000000,Series A,649,2,https://www.linkedin.com/company/alchemyinc/,https://alchemyapi.io/,"Joseph Lau, Nikil Viswanathan"
Habu,https://www.crunchbase.com/organization/habu-marketing,"Digital Marketing, Enterprise Software, Marketing Automation","San Francisco, California, United States",Habu operates as a marketing data operating system.,15000000,USD,15000000,Series A,"12,395",1,https://www.linkedin.com/company/habu-inc,https://habu.com/,"Matt Kilmartin, Michael Moreau, Tom Chavez, Vivek Vaidya"
CoachHub,https://www.crunchbase.com/organization/coachhub,"Corporate Training, E-Learning, Education, Personal Development, SaaS, Training","Berlin, Berlin, Germany",CoachHub is the digital coaching provider that offers holistic people development to forward-thinking companies.,14000000,USD,14000000,Series A,"3,410",2,https://www.linkedin.com/company/coachhub-io/,https://coachhub.io/,"Matti Niebelschuetz, Yannis Niebelschuetz"
Axis Security,https://www.crunchbase.com/organization/axis-security,"Cloud Security, Cyber Security, Information Technology, Network Security, Software","San Mateo, California, United States",Axis Security is a private application access company.,14000000,USD,14000000,Series A,"4,739",2,https://www.linkedin.com/company/axis-security,https://www.axissecurity.com/,"Dor Knafo, Gil Azrielant"
MetaCX,https://www.crunchbase.com/organization/metacx,Software,"Indianapolis, Indiana, United States",A digital success layer that brings suppliers and buyers of enterprise software together for better collaboration and outcome management.,14000000,USD,14000000,Seed,"10,612",1,https://www.linkedin.com/company/metacx/,https://metacx.com,"Dave Duke, Jake Miller, Scott McCorkle"
Deel,https://www.crunchbase.com/organization/deel,"Financial Services, Human Resources, Payments, Recruiting, Software","San Francisco, California, United States",Deel is a payroll platform dedicated to supporting and hiring remote workers globally.,14000000,USD,14000000,Series A,"20,163",5,https://www.linkedin.com/company/Deel/,https://www.letsdeel.com/,"Alex Bouaziz, Ofer Simon, Shuo Wang"
Ethyca,https://www.crunchbase.com/organization/ethyca,"Compliance, Privacy, SaaS, Software","New York, New York, United States",Ethyca is a privacy compliance platform enabling businesses to implement comprehensive privacy management processes.,13500000,USD,13500000,Series A,458,3,https://www.linkedin.com/company/ethyca/,https://ethyca.com,"Cillian Kieran, Miguel Burger-Calderon"
Sirona Medical,https://www.crunchbase.com/organization/sirona-medical,"Health Care, Health Diagnostics, Software","San Francisco, California, United States","Sirona Medical is in stealth, building software with radiologists.",13500000,USD,13500000,Series A,"9,353",1,https://www.linkedin.com/company/sironamedical/,https://www.sironamedical.com/,"Ankit Goyal, Cameron Andrews"
ProdPerfect,https://www.crunchbase.com/organization/prodperfect,Software,"Boston, Massachusetts, United States","ProdPerfect is a platform that uses live traffic to automatically build, run, and maintain QA testing for web applications.",13000000,USD,13000000,Series A,"43,481",3,https://www.linkedin.com/company/prodperfect/,https://prodperfect.com/,"Daniel Widing, Erik Fogg, Wilson Funkhouser"
GRAX,https://www.crunchbase.com/organization/grax,"Information Technology, Internet, Software","Boston, Massachusetts, United States","GRAX captures, retains, and correlates every single change in data over time.",12800000,USD,12800000,Series A,"16,561",1,https://www.linkedin.com/company/grax,https://www.grax.com/,"Christopher Haley, Joe Gaska"
Crossbeam,https://www.crunchbase.com/organization/crossbeam,"Analytics, Business Development, SaaS, Software","Philadelphia, Pennsylvania, United States",Crossbeam is a collaborative data platform that helps companies build more valuable partnerships.,12500000,USD,12500000,Series A,"4,866",2,https://www.linkedin.com/company/getcrossbeam/,https://www.crossbeam.com/,"Bob Moore, Buck Ryan"
NEAR Protocol,https://www.crunchbase.com/organization/near-0565,"Blockchain, Information Technology, Software","San Francisco, California, United States",NEAR Protocol is a blockchain designed to provide the performance and UX to get to mainstream adoption of decentralized applications,12100000,USD,12100000,Series A,"5,675",2,https://www.linkedin.com/company/near-protocol/,https://nearprotocol.com,"Alexander Skidanov, Illia Polosukhin"
Zippin,https://www.crunchbase.com/organization/zippin,"Artificial Intelligence, Computer, Shopping, Software","San Francisco, California, United States",Zippin is the next generation of checkout-free technology enabling retailers to quickly deploy frictionless shopping in their stores. ,12000000,USD,12000000,Series A,"4,674",1,https://www.linkedin.com/company/zippin/,https://www.getzippin.com/,Krishna Motukuri
GitGuardian,https://www.crunchbase.com/organization/gitguardian,"Cloud Security, Computer, Cyber Security, Software","Paris, Ile-de-France, France",GitGuardian is a cybersecurity start-up embarked on a mission to take credentials out of source code.,12000000,USD,12000000,Series A,"9,396",3,https://www.linkedin.com/company/gitguardian,https://gitguardian.com,"Eric Fourrier, Jérémy Thomas"
TWAICE,https://www.crunchbase.com/organization/twaice,"Analytics, Information Technology, Software","Munich, Bayern, Germany",TWAICE supports enterprises across industries with digital twin-based predictive battery analytics software.,11000000,EUR,11977847,Series A,"7,187",3,https://www.linkedin.com/company/twaice/,https://twaice.com/,"Michael Baumann, Stephan Rohr"
Hypersonix,https://www.crunchbase.com/organization/hypersonix-inc,"Analytics, Artificial Intelligence, B2B, Business Intelligence, SaaS","San Jose, California, United States",Hypersonix is an AI-backed autonomous analytics platform created to help businesses better analyze consumer commerce data.,11500000,USD,11500000,Series A,"2,227",2,https://www.linkedin.com/company/hypersonix-ai,http://www.hypersonix.ai,Prem Kiran
SignalWire,https://www.crunchbase.com/organization/signalwire,"Information Technology, Mobile, PaaS, Software, Telecommunications","Palo Alto, California, United States",SignalWire is a developer driven telecom stack that runs in a distributed global network in the cloud.,11500000,USD,11500000,Series A,"8,542",2,https://www.linkedin.com/company/signalwire/,http://www.signalwire.com,"Anthony Minessale, Evan McGee, Sean Heiney"
Viaduct,https://www.crunchbase.com/organization/viaduct-1f61,"Machine Learning, Software","Menlo Park, California, United States","Viaduct’s machine learning solutions allow OEMs to manage, analyze, and utilize the data generated by their connected vehicles.",11000000,USD,11000000,Series A,"4,809",1,https://www.linkedin.com/company/viaduct-ai,http://www.viaduct.ai,
Brightback,https://www.crunchbase.com/organization/brightback,"Advice, Business Development, Enterprise Software, Management Consulting, Management Information Systems","San Francisco, California, United States",Brightback offers entreprenurial advice to subscription-based businesses on customer lifetime value.,11000000,USD,11000000,Series A,"7,538",1,https://www.linkedin.com/company/brightback/,http://brightback.com/,Guy Marion
Chronosphere,https://www.crunchbase.com/organization/chronosphere,"Analytics, Information Technology, Productivity Tools, SaaS, Software","New York, New York, United States",Chronosphere provides an open-source metric data platform for companies.,11000000,USD,11000000,Series A,"8,328",2,https://www.linkedin.com/company/chronosphereio/,http://www.chronosphere.io,"Martin Mao, Rob Skillington"
Pearl,https://www.crunchbase.com/organization/pearl-080d,"Artificial Intelligence, Computer Vision, Dental, Health Care, Image Recognition, Software","West Hollywood, California, United States",Pearl is a computer vision company focusing on solving challenging problems in the dental industry.,11000000,USD,11000000,Series A,"12,407",1,https://www.linkedin.com/company/hellopearl,https://hellopearl.com/,"Cambron Carter, Ophir Tanz"
Higg Co,https://www.crunchbase.com/organization/higg-co,"Consumer Goods, E-Commerce, Information Technology, Software","San Francisco, California, United States",Higg Co is a comprehensive supply chain measurement and improvement system for consumer products.,11000000,USD,11000000,Series A,"14,915",1,https://www.linkedin.com/company/higg-co,http://www.higg.com,
Remote,https://www.crunchbase.com/organization/remote-d596,"Financial Services, Human Resources, Internet, Payments, Recruiting, Software","San Francisco, California, United States","Remote takes care of global payroll, benefits, compliance and taxes, so you can focus on people.",11000000,USD,11000000,Seed,"18,700",1,https://www.linkedin.com/company/remote.com/,https://www.remote.com,"Job van der Voort, Marcelo Lebre"
Solo.io,https://www.crunchbase.com/organization/solo-io,"Apps, Cloud Computing, Internet, Software","Cambridge, Massachusetts, United States",Solo.io develops tools to help the enterprise adopt and make the most of innovative cloud technologies.,11000000,USD,11000000,Series A,"52,499",2,https://www.linkedin.com/company/solo.io/,https://www.solo.io/,Idit Levine
Run The World,https://www.crunchbase.com/organization/run-the-world,"Events, Information Technology, Internet, Software","Mountain View, California, United States",Run The World is a digital event platform that is designed to host all types of events from cocktail parties to global conferences.,10800000,USD,10800000,Series A,"28,823",2,https://www.linkedin.com/company/runtheworld365/,https://www.runtheworld.today/,"Xiaoyin Qu, Xuan Jiang"
SIMULATE,https://www.crunchbase.com/organization/simulate,"Nutrition, Software","New York, New York, United States",SIMULATE develops nutrition technology that advances nature’s codebase.,10500000,USD,10500000,Series A,"8,508",1,,http://simulate.com,Ben Pasternak
RADAR,https://www.crunchbase.com/organization/radar-relay,"Blockchain, Cryptocurrency, Developer Platform, Ethereum, Software, Trading Platform, Virtual Currency","Denver, Colorado, United States",We build products for our next financial system,10300000,USD,10300000,Series A,"10,379",2,https://www.linkedin.com/company/radar-relay/,https://radar.tech,"Alan Curtis, Brandon Roth, Caleb Tebbe, Connor Lawrence, Devin Eldridge, Mike Roth"
Stellar Health,https://www.crunchbase.com/organization/stellar-health,"Apps, Health Care, Software","New York, New York, United States",Empowering providers and practice staff to deliver high-quality care through real-time notifications and meaningful incentives.,10150000,USD,10150000,Series A,"3,874",2,https://www.linkedin.com/company/stellarhealth/,https://stellar.health/,"Ari Brenner, Ben Kraus, Michael Meng, Octavian Costache"
AppOmni,https://www.crunchbase.com/organization/appomni,"Cloud Management, Cloud Security, Cyber Security, SaaS, Software","San Francisco, California, United States",AppOmni is the leading provider of Cloud Security Posture Management (CSPM) for the SaaS applications that power the modern enterprise,10000000,USD,10000000,Series A,"2,107",3,https://www.linkedin.com/company/appomni,https://appomni.com/,"Brendan O'Connor, Brian Soby"
Span.IO,https://www.crunchbase.com/organization/span-io,"Energy, Hardware, Internet of Things, Renewable Energy, Software","San Francisco, California, United States",Span.IO develops products to enable rapid adoption of renewable energy and deliver an intuitive interface for the home.,10000000,USD,10000000,Series A,"5,606",2,https://www.linkedin.com/company/span-io/,https://www.span.io,Arch Rao
Ordway,https://www.crunchbase.com/organization/ordway-labs,"Billing, Computer, Finance, FinTech, Payments, SaaS, Software","Washington, District of Columbia, United States",Ordway is a smart billing and revenue automation platform for growing businesses.,10000000,USD,10000000,Series A,"6,212",2,https://www.linkedin.com/company/ordway/,https://www.ordwaylabs.com/,Sameer Gulati
Forager,https://www.crunchbase.com/organization/forager-logistics,"Information Technology, Logistics, Service Industry, Software, Supply Chain Management","Chicago, Illinois, United States",Forager is a company building technology to automate cross-border logistics.,10000000,USD,10000000,Series A,"7,597",3,https://www.linkedin.com/company/foragerscs/,http://www.foragerscs.com/,"Jessie Essman, Jordan Salins, Matt Silver"
Everee,https://www.crunchbase.com/organization/everee,"FinTech, Information Technology, SaaS, Software","Salt Lake City, Utah, United States",Everee is a full-service payroll platform that allows employees to pick their pay dates.,10000000,USD,10000000,Series A,"8,230",2,https://www.linkedin.com/company/everee-pay/about/,https://www.everee.com/,"Derek Newbold, Kyle Jacobsen, Piers Mainwaring, Ron Ross, Tyler Ploeger"
Dura Software,https://www.crunchbase.com/organization/dura-holdings,"Information Services, Information Technology, Software","San Antonio, Texas, United States",Dura Software is a holding company that buys and operates software companies for the long-term.,10000000,USD,10000000,Series A,"12,587",2,https://www.linkedin.com/company/durasoftwaresanantonio/,https://www.dura.software/,"Chris Burney, Paul Salisbury"
Subtree Inc.,https://www.crunchbase.com/organization/subtree,"Data Integration, Data Storage, Developer Platform, Developer Tools, SaaS, Software, Software Engineering","London, England, United Kingdom","Cloud native data management, giving developers the same power over data that source control gives them over code",10000000,USD,10000000,Seed,"33,857",1,https://www.linkedin.com/company/subtree-inc/,https://www.dotmesh.com,Luke Marsden
Auterion,https://www.crunchbase.com/organization/auterion,"Drone Management, Drones, Information Technology, Open Source, Operating Systems, Robotics, Software","Zürich, Zurich, Switzerland",Auterion builds an open source enterprise operating system for drones.,10000000,USD,10000000,Seed,"48,856",2,https://www.linkedin.com/company/auterion/,http://auterion.com,"Kevin Sartori, Lorenz Meier"
Instagrid,https://www.crunchbase.com/organization/instagrid,"Electronics, Manufacturing, Software","Stuttgart, Baden-Wurttemberg, Germany",instagrid is a provider of portable battery storage to easily create mobile power infrastructures.,8500000,EUR,9351274,Series A,"18,128",3,https://www.linkedin.com/company/instagrid/,https://instagrid.co/,"Andreas Sedlmayr, Sebastian Berning"
Postal.io,https://www.crunchbase.com/organization/postal-io,"Advertising, Data Integration, Direct Marketing, Information Technology, Lead Generation, Lead Management, Machine Learning, Marketing Automation, Sales Automation, Software","San Luis Obispo, California, United States","Sales and marketing engagement platform that generates leads, increases sales, and improves customer retention.",9000000,USD,9000000,Series A,"42,210",1,https://www.linkedin.com/company/postal-io/,https://postal.io,"Erik Kostelnik, Jed Danner"
AKUR8,https://www.crunchbase.com/organization/akur8,"Financial Services, FinTech, Information Technology, Insurance, InsurTech, Machine Learning, SaaS","Paris, Ile-de-France, France",AKUR8 is a SaaS Insurtech specialized in Insurance pricing optimization with Transparent AI.,8000000,EUR,8946114,Series A,"8,154",2,https://www.linkedin.com/company/akur8/,http://www.akur8-tech.com,"Guillaume Beraud-Sudreau, Samuel Falmagne"
Rivet,https://www.crunchbase.com/organization/rivethealth,"Health Care, Information Technology, Medical, Software","Salt Lake City, Utah, United States",Rivet operates as a software company that provides healthcare SaaS solution.,8250000,USD,8250000,Series A,"5,355",2,https://www.linkedin.com/company/rivethealth/,https://rivethealth.com/,"Paul Draper, Ted Ferrin"
Jumbo Privacy,https://www.crunchbase.com/organization/jumbo-privacy,"Mobile Apps, Privacy, Security, Software","Paris, Ile-de-France, France",Jumbo Privacy is a B2C privacy and security app that protects users on iOS and Android.,8000000,USD,8000000,Series A,747,2,https://www.linkedin.com/company/jumbo-privacy/,https://www.jumboprivacy.com/,Pierre Valade
digid - Digital Diagnostics AG,https://www.crunchbase.com/organization/digid-digital-diagnostics-ag,"Biotechnology, Health Care, Health Diagnostics, Medical Device, Nanotechnology, Software","Mainz, Rheinland-Pfalz, Germany",digid is a German Healthtech company. Our mission is to digitalize diagnostics by enabling real-time tracking and analysis of human Biodata.,8000000,USD,8000000,Seed,"6,928",1,https://www.linkedin.com/company/42405608,http://www.digid.com,
Kaskada,https://www.crunchbase.com/organization/kaskada,"Analytics, Big Data, Data Visualization, Machine Learning, Software","Seattle, Washington, United States","Kaskada is a computer software company that specializes in the fields of machine learning, event streaming, and data science.",8000000,USD,8000000,Series A,"11,677",2,https://www.linkedin.com/company/kaskadainc/,https://kaskada.com,"Ben Chambers, Davor Bonaci"
"KyckGlobal, Inc.",https://www.crunchbase.com/organization/kyckglobal,"Financial Services, FinTech, Payments, Software","Atlanta, Georgia, United States",Fintech firm offering an outbound payments solution. Multiple payment types - just one platform.,8000000,USD,8000000,Series A,"13,082",1,https://www.linkedin.com/company/kyckglobalinc/,https://kyckglobal.com,"Ashish Bahl, Jessica Koenig, Jill Peters"
Skipr,https://www.crunchbase.com/organization/skipr,"Information Technology, Software","Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Skipr is a mobility SaaS solution for professionals.,7000000,EUR,7863622,Series A,"1,882",1,https://www.linkedin.com/company/myskipr,http://www.skipr.co,
"Quartz Systems, Inc.",https://www.crunchbase.com/organization/quartz-systems-inc,"Construction, Information Technology, Software","San Francisco, California, United States","Quartz identifies, tracks, and understands everything that moves on a construction site",7750000,USD,7750000,Seed,"43,332",1,https://www.linkedin.com/company/28120242,http://www.quartz.co,"Conor Lenahan, Jeremy Conrad"
Sila,https://www.crunchbase.com/organization/sila,"Financial Services, FinTech, Information Technology, Software","Portland, Oregon, United States","Sila is a banking and payments API for web, mobile, desktop apps.",7700000,USD,7700000,Seed,"5,079",2,https://www.linkedin.com/company/silamoney,https://silamoney.com,"Alexander Lipton, Angela Angelovska-Wilson, Isaac Hines, Shamir Karkal"
Flatfile,https://www.crunchbase.com/organization/flatfile,"Developer Tools, Software","Denver, Colorado, United States","Flatfile is the developer of a database software designed to import, map, and normalize customer data.",7600000,USD,7600000,Seed,981,2,https://www.linkedin.com/company/flatfile/,https://flatfile.io/,"David Boskovic, Eric Crane"
Spectro Cloud,https://www.crunchbase.com/organization/spectro-cloud,"Enterprise, Information Technology, Infrastructure, SaaS","Santa Clara, California, United States",Spectro Cloud is an infrastructure company that provides scalable and policy-based cluster management of Kubernetes for enterprises.,7500000,USD,7500000,Seed,"11,559",1,https://www.linkedin.com/company/spectro-cloud/,https://spectrocloud.com,"Gautam Joshi, Saad Malik, Tenry Fu"
Truekx,https://www.crunchbase.com/organization/truekx,"App Marketing, Apps, Consumer Applications, Digital Marketing, E-Commerce, Financial Services, Mobile Apps, Software","Guadalajara, Jalisco, Mexico","Cross-Platform App. Where we are solving is to boost sales, advertising and growth of all companies in a network",7500000,USD,7500000,Seed,"12,975",5,https://www.linkedin.com/company/truekx,http://www.truekx.com,"Delait Rodriguez, Rafael Perez"
Shujinko,https://www.crunchbase.com/organization/shujinko-seattle-washington,"Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Management, Cloud Security, SaaS, Software","Seattle, Washington, United States",Shujinko is a software as a service (SaaS) that enables organizations to quickly build compliant environments.,7500000,USD,7500000,Series A,"57,990",2,https://www.linkedin.com/company/shujinko/,https://www.shujinko.io/,"Matthew Wells, Scott Schwan"
Opora,https://www.crunchbase.com/organization/opora-technologies,"Big Data, Cloud Computing, Cyber Security, Information Technology, Machine Learning, Software","San Francisco, California, United States",Opora develops cyber threat intelligence technologies.,7000000,USD,7000000,Seed,"1,395",1,https://www.linkedin.com/company/opora-technologies/,https://www.opora.io/,Noam Jolles
