Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,CB Rank (Company),Number of Funding Rounds,LinkedIn,Website,Founders
Kinetica,https://www.crunchbase.com/organization/kinetica-2,"Analytics, Artificial Intelligence, Data Visualization, Database, Enterprise Applications, Enterprise Software, Geospatial, GPU, Machine Learning, Software","San Francisco, California, United States",Kinetica is the leading Active Analytics Platform for the modern digital economy,50000000,USD,50000000,Series A,"4,346",3,https://www.linkedin.com/company/kinetica,http://www.kinetica.com,"Amit Vij, Nima Negahban"
Litify,https://www.crunchbase.com/organization/litify,"Internet, Legal, Legal Tech, Marketing, Software","Brooklyn, New York, United States",Litify provides technology solutions for law firms by providing a trusted intelligent platform for practice management.,50000000,USD,50000000,Series A,"5,089",3,https://www.linkedin.com/company/10294739,http://www.litify.com/,"Reuven Moskowitz, Ryan Hallman"
Vianai,https://www.crunchbase.com/organization/vianai,"Artificial Intelligence, Computer, Information Technology, Intelligent Systems, Machine Learning, Software","Palo Alto, California, United States",Vianai provides enterprise artificial intelligence solutions.,50000000,USD,50000000,Seed,"7,761",1,https://www.linkedin.com/company/vianai/,https://www.vian.ai/,Vishal Sikka
ACEINNA,https://www.crunchbase.com/organization/aceinna,"Automotive, Information Technology, Software","Andover, Massachusetts, United States","Sensing Solutions for developing markets such as autonomous vehicles, advanced computing plaforms, and smart buildings.",50000000,USD,50000000,Series A,"22,012",1,,https://www.aceinna.com,"Dr. Yang Zhao, Mike A Horton"
Kira Systems,https://www.crunchbase.com/organization/kira,"Analytics, Artificial Intelligence, Information Technology, Legal, Machine Learning, Software, Text Analytics","Toronto, Ontario, Canada","Kira Systems is a machine learning software that identifies, extracts, and analyzes text in contracts and other documents.",65000000,CAD,49335676,Series A,"2,893",1,https://www.linkedin.com/company/kira,https://kirasystems.com/,"Alexander Hudek, Noah Waisberg"
Litmus,https://www.crunchbase.com/organization/litmus,"Computer, Customer Service, Software, Test and Measurement, Web Design","Cambridge, Massachusetts, United States",Litmus is a testing and QA service for email marketers.,49000000,USD,49000000,Series A,"2,807",1,https://www.linkedin.com/company/litmus-com,http://litmus.com,"David Smalley, Matthew Brindley, Paul Farnell"
Avecto,https://www.crunchbase.com/organization/avecto,"Application Performance Management, Computer, Security, Software","Wythenshawe, Cheshire, United Kingdom",Avecto is a software company which develops endpoint security software solutions that protect businesses from advanced threats.,49000000,USD,49000000,Series A,"14,001",1,http://www.linkedin.com/company/avecto,http://www.avecto.com,"Mark Austin, Paul Kenyon"
Rippling,https://www.crunchbase.com/organization/rippling,"Employment, Human Resources, Information Technology, IT Management, Software","San Francisco, California, United States","Rippling is a human resource management company that manages employees’ payroll, benefits, devices, and apps.",45000000,USD,45000000,Series A,"1,462",5,https://www.linkedin.com/company/17988315/,https://www.rippling.com/,"Parker Conrad, Prasanna Sankar"
RStor,https://www.crunchbase.com/organization/rstor,"Cloud Computing, Data Center, Software","Saratoga, California, United States","RStor is a Saratoga, California-based provider of multicloud platform for enterprise performance computing.",45000000,USD,45000000,Series A,"8,102",1,https://www.linkedin.com/company/rstor/,https://rstor.io/,Giovanni Coglitore
Beyond Pricing,https://www.crunchbase.com/organization/beyond-pricing,"Big Data, Machine Learning, Real Estate, SaaS, Software, Travel, Vacation Rental","San Francisco, California, United States",Beyond Pricing is an automated data-driven pricing solution for your Airbnb and vacation rental.,42500000,USD,42500000,Series A,907,3,https://www.linkedin.com/company/beyond-pricing,https://beyondpricing.com,"David Kelso, Ian McHenry"
Vytek Wireless,https://www.crunchbase.com/organization/vytek-wireless-inc,"Electronics, Hardware, Information Technology, Software, Wireless","San Diego, California, United States",Vytek Wireless is a provider of innovative wireless and mobile computing solutions.,42000000,USD,42000000,Series A,"233,881",1,,http://www.vytek.com,James Ousley
Stradigi AI,https://www.crunchbase.com/organization/stradigi,"Artificial Intelligence, Information Technology, Machine Learning, Software, Software Engineering","Montréal, Quebec, Canada",Stradigi AI provides AI-powered solutions intended to bring innovation in AI technologies.,53000000,CAD,40039888,Series A,"3,285",1,http://www.linkedin.com/company/stradigi/,http://www.stradigi.ai/,"Basil Bouraropoulos, Curtis Gavura, Jaime Camacaro"
Kneron,https://www.crunchbase.com/organization/kneron,"Artificial Intelligence, Information Technology, Internet of Things, Robotics, Software","San Diego, California, United States",Kneron develops an application-specific integrated circuit and software that offers artificial intelligence-based tools.,40000000,USD,40000000,Series A,"5,902",3,https://www.linkedin.com/company/kneron/,http://www.kneron.com/,Albert Liu
venn,https://www.crunchbase.com/organization/venn-7cc2,"Information Technology, Internet, Software","Brooklyn, New York, United States",Venn offers a platform that encourages urbanites to become active creators and participants in the development of their community.,40000000,USD,40000000,Series A,"6,968",1,https://www.linkedin.com/company/venn-city/,https://www.venn.city/,"Chen Avni, David Sherez, Or Bokobza"
Netsparker,https://www.crunchbase.com/organization/netsparker,"Security, Software, Web Apps","Austin, Texas, United States",Netsparker is an easy to use and highly accurate web application security solution for all types of web applications.,40000000,USD,40000000,Series A,"8,024",1,http://www.linkedin.com/company/netsparker-ltd,https://www.netsparker.com/,Ferruh Mavituna
LeaseQuery.com,https://www.crunchbase.com/organization/leasequery-com,Software,"Atlanta, Georgia, United States",LeaseQuery helps accountants and finance professionals eliminate lease accounting errors through its CPA-approved lease accounting software.,40000000,USD,40000000,Series A,"8,626",1,https://www.linkedin.com/company/leasequery/,http://www.leasequery.com,George Azih
Decisions,https://www.crunchbase.com/organization/decisions,"Enterprise Software, PaaS, SaaS, Software","Chesapeake, Virginia, United States","Decisions provides a platform which is a complete workflow automation solution including a search engine, forms designer and dash-boarding.",40000000,USD,40000000,Series A,"9,565",1,https://www.linkedin.com/company/decisions,http://www.decisions.com,"Carl Hewitt, Heath Oderman, Kevin Lindquist"
Level Access,https://www.crunchbase.com/organization/level-access,"Consulting, Education, Government, Information Services, Information Technology, Software, Training","Vienna, Virginia, United States","Level Access provides digital accessibility compliance solutions to address the ADA, WCAG, CVAA, AODA, Mandate 376, and Section 508.",40000000,USD,40000000,Series A,"12,087",1,https://www.linkedin.com/company/11173457,https://www.levelaccess.com/,"Doug Aley, Ethan Kurzweil, Kevin Gough, Tim Springer"
Cyence,https://www.crunchbase.com/organization/cyence,"Computer, Insurance, Software","San Mateo, California, United States",Cyence empowers the insurance industry to understand the economic impact of cyber risk.,40000000,USD,40000000,Series A,"13,391",1,https://www.linkedin.com/company/cyence,https://www.cyence.net/,"Arvind Parthasarathi, GEORGE NG"
Kodiak Robotics,https://www.crunchbase.com/organization/kodiak-robotics-inc,"Autonomous Vehicles, Information Technology, Logistics, Robotics, Software","Mountain View, California, United States",Kodiak Robotics develops autonomous technology for long-haul trucking.,40000000,USD,40000000,Series A,"32,222",1,https://www.linkedin.com/company/kodiakrobotics/,http://www.kodiak.ai,"Don Burnette, Paz Eshel"
Enfore,https://www.crunchbase.com/organization/numberfour,"Enterprise Resource Planning (ERP), Enterprise Software, PaaS, Payments, SaaS, Small and Medium Businesses, Software","Berlin, Berlin, Germany","Enfore is a business platform paired with a collection of versatile apps for smartphones, tablets and personal computers.",38000000,USD,38000000,Series A,"20,822",1,https://www.linkedin.com/company/numberfour-ag,https://www.enfore.com,Marco Boerries
ComplianceQuest,https://www.crunchbase.com/organization/compliancequest,"Compliance, Software","Tampa, Florida, United States",ComplianceQuest is a cloud-based Enterprise Quality and Safety Management System (QHSE) native on Salesforce.,36000000,USD,36000000,Series A,"6,331",1,https://www.linkedin.com/company/3653494/,http://www.compliancequest.com,"Atulya Risal, Govardhan Muralidhar, Govardhan Muralidhar, Prashanth Rajendran"
ClickUp,https://www.crunchbase.com/organization/clickup,"Enterprise Software, Productivity Tools, Software, Task Management","San Diego, California, United States","ClickUp is an app that brings tasks, docs, spreadsheets, goal tracking, resources, and an inbox, together in one place.",35000000,USD,35000000,Series A,111,3,https://www.linkedin.com/company/clickup.co,http://www.clickup.com,"Alex Yurkowski, Zeb Evans"
iboss,https://www.crunchbase.com/organization/iboss,"Cloud Computing, Cyber Security, Network Security, Security, Software","Boston, Massachusetts, United States",iboss created the only web gateway as a service specifically designed to solve the challenge of securing distributed organizations.,35000000,USD,35000000,Series A,"2,994",1,https://www.linkedin.com/company/iboss,https://www.iboss.com,"Paul Martini, Peter Martini"
UserZoom,https://www.crunchbase.com/organization/userzoom,"Market Research, SaaS, Software, Test and Measurement, Usability Testing, UX Design","San Jose, California, United States",UserZoom delivers actionable UX insights to design better digital experiences.,34000000,USD,34000000,Series A,"6,147",2,http://www.linkedin.com/company/userzoom,http://www.userzoom.com,"Alfonso de la Nuez, Javier Darriba, Xavier Mestres"
Device42,https://www.crunchbase.com/organization/device42,"App Discovery, Data Center, Information Technology, IT Infrastructure, Software","West Haven, Connecticut, United States",Device42 is a provider of Hybrid IT Discovery & Application Dependency Mapping software.,34000000,USD,34000000,Series A,"7,858",4,http://www.linkedin.com/company/device42,http://www.device42.com,"Raj Jalan, Steve Shwartz"
Dental Intelligence,https://www.crunchbase.com/organization/dental-intelligence,"Analytics, Data Integration, Dental, Health Care, Productivity Tools, SaaS, Software","Pleasant Grove, Utah, United States",Dental Intelligence helps dental teams manage their work and provides insight into how dental practices can grow faster.,34000000,USD,34000000,Series A,"8,709",2,https://www.linkedin.com/company/dental-intel/,http://www.dentalintel.com/,"J Weston Lunsford, Rob Bay"
PlanRadar,https://www.crunchbase.com/organization/defectradar,"Android, Architecture, Building Maintenance, Collaboration, Construction, iOS, Real Estate, SaaS, Software, Task Management","Vienna, Wien, Austria",PlanRadar offers a SaaS solution for documentation and communication in construction and real estate projects.,30000000,EUR,33859357,Series A,"5,670",4,https://www.linkedin.com/company/2920442/,https://www.planradar.com/,"Clemens Hammerl, Constantin Köck, Domagoj Dolinsek, Ibrahim Imam, Sander van de Rijdt"
Rev.com,https://www.crunchbase.com/organization/rev,"Artificial Intelligence, Developer APIs, Mobile Apps, Software, Speech Recognition","Austin, Texas, United States",Rev combines human and artificial intelligence to deliver the largest and most popular voice-to-text service in the world.,33000000,USD,33000000,Series A,"4,403",1,http://www.linkedin.com/company/rev-com,http://www.rev.com,"Dan Kokotov, David Abrameto, Jason Chicola, Josh Breinlinger, Mark Chen, Paul Huck"
MetaPack,https://www.crunchbase.com/organization/metapack,"Delivery, E-Commerce, Software","London, England, United Kingdom",MetaPack provides delivery management solutions that enable online retailers to increase user engagement and sales conversions.,20000000,GBP,32573130,Series A,"10,852",4,http://www.linkedin.com/company/metapack,http://www.metapack.com,"Marcin Wójcicki, Patrick Wall"
Bear Robotics,https://www.crunchbase.com/organization/bear-robotics-inc,"Artificial Intelligence, Retail Technology, Robotics, Software","Redwood City, California, United States",Bear Robotics reshapes food service with robotics and artificial intelligence.,32000000,USD,32000000,Series A,"4,953",4,https://www.linkedin.com/company/bear-robotics-inc/,https://bearrobotics.ai,"Brennand Pierce, Fangwei Li, John Ha, Juan Higueros"
Contentstack,https://www.crunchbase.com/organization/contentstack,"CMS, Content, Content Delivery Network, Digital Marketing, Information Technology, SaaS, Software","San Francisco, California, United States",Contentstack develops a cloud based content management system intended to power omnichannel content.,31500000,USD,31500000,Series A,"4,025",2,https://www.linkedin.com/company/contentstack/,http://www.contentstack.com/,"Matthew Baier, Neha Sampat, Nishant Patel"
Glitch,https://www.crunchbase.com/organization/glitch,"Enterprise Software, Internet, Productivity Tools, Project Management, Social Network, Software","New York, New York, United States",Glitch is the friendly community where everyone builds the web.,30000000,USD,30000000,Series A,"2,738",1,https://www.linkedin.com/company/fog-creek-software/,https://glitch.com/,"Joel Spolsky, Michael Pryor"
AppViewX,https://www.crunchbase.com/organization/appviewx,"Cyber Security, Enterprise Software, Identity Management, Information Technology, Network Security, Security, Software","New York, New York, United States",AppViewX is a Certificate Lifecycle Management and Network Automation Company,30000000,USD,30000000,Series A,"6,096",1,https://www.linkedin.com/company/appviewx,https://www.appviewx.com,Anand Purusothaman
Accel Robotics,https://www.crunchbase.com/organization/accel-robotics,"Consumer, Electronics, Machine Learning, Robotics, Software","San Diego, California, United States",Accel Robotics develops a 360-degree visual intelligence platform intended to improve customer experiences.,30000000,USD,30000000,Series A,"7,723",5,https://www.linkedin.com/company/accel-robotics/,http://www.accelrobotics.com/,"Brandon Maseda, Marius Buibas, Martin Cseh"
Beyond Identity,https://www.crunchbase.com/organization/beyond-identity,"Computer, Cyber Security, Identity Management, Network Security, Security, Software","New York, New York, United States",Beyond Identity provides passwordless identity management solutions.,30000000,USD,30000000,Series A,"22,511",1,https://www.linkedin.com/company/beyond-identity-inc/,https://www.beyondidentity.com/,"James Clark, Thomas Jermoluk"
Remine,https://www.crunchbase.com/organization/remine,"Big Data, Information Technology, Internet, Real Estate, Software","Vienna, Virginia, United States","Remine is an MLS platform in 40 markets and available to more than 825,000 agents and their clients.",30000000,USD,30000000,Series A,"44,698",2,https://www.linkedin.com/company/remine/,https://www.remine.com,"Daniel Huertas, Jad Meouchy, Jonathan Spinetto, Leo Pareja, Mark Schacknies"
Tallan,https://www.crunchbase.com/organization/tallan,"Cloud Data Services, Cloud Infrastructure, Consulting, Information Technology, Management Information Systems, Online Portals, Professional Services, Software","Rocky Hill, Connecticut, United States",Tallan is a provider of technology based solutions to businesses.,30000000,USD,30000000,Series A,"121,706",1,http://www.linkedin.com/company/tallan,http://www.tallan.com,"Craig Branning, Michelle Hall"
Builder,https://www.crunchbase.com/organization/builderai,"Artificial Intelligence, Information Technology, Software, Software Engineering, Web Design, Web Development","San Francisco, California, United States",Builder helps people build their technology without having to become an engineer or hire a team.,29500000,USD,29500000,Series A,"3,210",1,https://www.linkedin.com/company/builderai,http://www.builder.ai,"Sachin Dev Duggal, Saurabh Dhoot"
Guardsquare,https://www.crunchbase.com/organization/guardsquare,"Developer Tools, Internet of Things, Mobile, Security, Software","Leuven, Vlaams-Brabant, Belgium",Guardsquare develops premium software for the protection of mobile applications against reverse engineering and hacking.,29000000,USD,29000000,Series A,"9,993",2,https://www.linkedin.com/company/guardsquare-nv,https://www.guardsquare.com/,"Eric Lafortune, Heidi Rakels"
Camunda,https://www.crunchbase.com/organization/camunda,"Consulting, Enterprise Software, Information Technology, SaaS, Software","Berlin, Berlin, Germany",Camunda is an open source platform for BPMN workflow and DMN decision automation.,25000000,EUR,28372625,Series A,"4,079",1,https://www.linkedin.com/company/camunda/,http://www.camunda.com,"Bernd Ruecker, Jakob Freund"
Humatics,https://www.crunchbase.com/organization/humatics,"Collaboration, Robotics, Software","Waltham, Massachusetts, United States","Humatics is developing microlocation products that will revolutionize how people and machines locate, navigate, and collaborate.",28000000,USD,28000000,Series A,"4,621",3,https://www.linkedin.com/company/humatics-corporation/,http://humatics.com,"David Mindell, Gary Cohen"
Light Field Lab,https://www.crunchbase.com/organization/light-field-lab-inc,"Digital Entertainment, Film, Hardware, Industrial Design, Information Technology, Media and Entertainment, Software","San Jose, California, United States",Light Field Lab is a breakthrough technology startup that builds an innovative holographic ecosystem.,28000000,USD,28000000,Series A,"6,640",2,https://www.linkedin.com/company/18012509/,http://www.lightfieldlab.com,"Brendan Bevensee, Ed Ibe, Jon Karafin"
Merantix,https://www.crunchbase.com/organization/merantix,"Artificial Intelligence, Big Data, Health Care, Health Diagnostics, Machine Learning, Predictive Analytics, Software","Berlin, Berlin, Germany",Merantix is a research lab and venture studio in the space of artificial intelligence.,25000000,EUR,27548634,Series A,"2,283",2,https://www.linkedin.com/company/7943887,http://merantix.com,"Adrian Locher, Rasmus Rothe"
Bitwise Industries,https://www.crunchbase.com/organization/bitwise-industries,"Coworking, Education, Real Estate, Software","Fresno, California, United States","Bitwise is a tech ecosystem, activating human potential to elevate underdog cities around the country.",27000000,USD,27000000,Series A,462,2,https://www.linkedin.com/company/bitwise-industries/,http://bitwiseindustries.com/,"Irma Olguin, Jake Soberal"
CentrPort,https://www.crunchbase.com/organization/centrport,"Brand Marketing, CRM, Digital Marketing, Information Technology, Software","Westport, Connecticut, United States",CentrPort is the leading creator of Brand Interaction Management software.,27000000,USD,27000000,Series A,"431,808",1,,http://www.centrport.com,
HealthReveal,https://www.crunchbase.com/organization/healthreveal,"Health Care, Hospital, Software","New York, New York, United States","HealthReveal is a provider of a cloud-based, clinical analytics platform designed to preempt the avoidable consequences of chronic disease.",26599554,USD,26599554,Series A,"10,040",2,https://www.linkedin.com/company/healthreveal,https://www.healthreveal.com/,"Frank Norman, Lonny Reisman, Lori Evans Bernstein"
Stellar Labs,https://www.crunchbase.com/organization/stellar-labs,"Air Transportation, Information Technology, Software","Burlingame, California, United States",Stellar is the most advanced commercial operations system ever created for private aviation combined w/ an all-digital distribution network.,26300000,USD,26300000,Series A,"10,350",5,https://www.linkedin.com/company/6588298,https://www.stellar.aero/,"David Fox, Paul Touw"
Observe.AI,https://www.crunchbase.com/organization/observe-ai,"Artificial Intelligence, Call Center, Machine Learning, Natural Language Processing, SaaS, Software, Speech Recognition","San Francisco, California, United States","Observe.AI develops a voice AI platform for contact centers, turning agents into top performers.",26000000,USD,26000000,Series A,"1,132",4,https://in.linkedin.com/company/observeai,https://observe.ai/,"Akash Singh, Sharath Keshava Narayana, Swapnil Jain"
Altaworks,https://www.crunchbase.com/organization/altaworks,"Apps, Infrastructure, Software","Nashua, New Hampshire, United States",Altaworks provides of systems management software for e-business applications and infrastructures.,25800000,USD,25800000,Series A,"451,770",1,,,
Bison Trails,https://www.crunchbase.com/organization/bison-trails,"Blockchain, Infrastructure, Internet, Software","Brooklyn, New York, United States",Bison Trails allows the user to run secure infrastructure on multiple blockchains.,25500000,USD,25500000,Series A,"2,335",2,https://www.linkedin.com/company/bison-trails/,https://bisontrails.co/,"Aaron Henshaw, Joe Lallouz"
Softomotive,https://www.crunchbase.com/organization/softomotive,"Business Information Systems, Industrial Automation, Office Administration, Robotics, Software","London, England, United Kingdom",Softomotive is a software company that provides Robotic Process Automation technology for organizations's digital workforce development.,25000000,USD,25000000,Series A,"2,225",1,https://www.linkedin.com/company/softomotive,http://www.softomotive.com,"Argyris Kaninis, Marios Stavropoulos"
Quantum Metric,https://www.crunchbase.com/organization/quantum-metric,"Analytics, Information Technology, Internet, Mobile Apps, SaaS, Software","Monument, Colorado, United States",Build better products faster.,25000000,USD,25000000,Series A,"2,704",2,https://www.linkedin.com/company/quantum-metric,https://quantummetric.com,Mario Ciabarra
Compound,https://www.crunchbase.com/organization/compound-labs,"Blockchain, Cryptocurrency, Ethereum, Finance, FinTech, Internet, Software","San Francisco, California, United States",Compound is an open-source interest rate protocol that unlocks new financial applications.,25000000,USD,25000000,Series A,"3,776",2,https://www.linkedin.com/company/compoundfinance/,https://compound.finance,"Geoffrey Hayes, Robert Leshner"
doc.ai,https://www.crunchbase.com/organization/doc-ai,"Artificial Intelligence, Clinical Trials, Health Care, Machine Learning, Medical, Software","Palo Alto, California, United States",doc.ai is a digital health company designed for a new generation of medical research.,25000000,USD,25000000,Seed,"3,870",4,https://www.linkedin.com/company/doc.ai,http://www.doc.ai,"Alan Greene, Anthea Chung, Cheryl Greene, Sam De Brouwer, Walter De Brouwer"
Gravitational,https://www.crunchbase.com/organization/gravitational,"Cloud Data Services, Cloud Infrastructure, Privacy, SaaS, Software","Oakland, California, United States",Security and Compliance for Cloud Applications and Infrastructure,25000000,USD,25000000,Series A,"5,408",3,https://www.linkedin.com/company/gravitational/,http://gravitational.com/,"Alexander Klizhentas, Ev Kontsevoy, Taylor Wakefield"
Arundo Analytics,https://www.crunchbase.com/organization/arundo-analytics,"Artificial Intelligence, Big Data, Internet of Things, Machine Learning, Software","Palo Alto, California, United States",Arundo Analytics provides cloud-based and edge-enabled software for the deployment and management.,25000000,USD,25000000,Series A,"6,866",3,https://www.linkedin.com/company/arundo-analytics-inc-?trk=company_logo,http://www.arundo.com,"Marcus Furuholmen, Stuart Morstead, Tor Jakob Ramsøy"
RFPIO Inc.,https://www.crunchbase.com/organization/rfpio-inc,"Cloud Management, CRM, Knowledge Management, SaaS, Sales Automation, Software","Beaverton, Oregon, United States",Revolutionary RFP software that enhances collaboration and fosters a truly efficient response process. Allow your team to thrive with RFPIO.,25000000,USD,25000000,Series A,"7,141",3,https://www.linkedin.com/company/rfpioinc/,https://www.rfpio.com,"AJ Sunder, Ganesh Shankar, Sankar Lagudu"
Smartfrog,https://www.crunchbase.com/organization/smartfrog-com,"Enterprise Software, Home Services, Internet, Internet of Things, Software","Dublin, Dublin, Ireland","Smartfrog provides a home surveillance solution that includes an application (Android and iOS), a camera, and video storage features.",25000000,USD,25000000,Series A,"10,613",4,https://www.linkedin.com/company/smartfrog-limited/,https://www.smartfrog.com,"Abbas Sadegh, Andreas Rudyk, Norbert Stangl"
Cyara,https://www.crunchbase.com/organization/cyara,"Customer Service, Enterprise Software, SaaS, Software","Redwood City, California, United States","Customer Experience Assurance Platform. Cloud based 'Outside-in' test automation & monitoring for IVR, digital and omni-channel ",25000000,USD,25000000,Series A,"11,119",1,http://www.linkedin.com/company/cyara,https://www.cyara.com,"Alok Kulkarni, Bonny Malik, Luan Tran"
SnapRoute,https://www.crunchbase.com/organization/snaproute,"Data Center, Developer APIs, Enterprise, Open Source, Software, Telecommunications","Santa Clara, California, United States",Snaproute is delivering architectural innovation and paradigm breaking economics with a cloud native network operating system.,25000000,USD,25000000,Series A,"15,502",1,https://www.linkedin.com/company/snaproute-inc.,http://www.snaproute.com/,"Adam Casella, Glenn Sullivan, Jason Forrester"
Kerauno,https://www.crunchbase.com/organization/kerauno,"Consumer Electronics, Information Technology, Internet, Software, Telecommunications","Indianapolis, Indiana, United States",Kerauno is a unified communications tool that optimizes business workflows and improves productivity.,25000000,USD,25000000,Series A,"16,136",1,https://www.linkedin.com/company/kerauno/,https://www.kerauno.io/,"Jason Ross, Josh Ross"
PROS Holdings,https://www.crunchbase.com/organization/pros-holdings,"Big Data, Software","Houston, Texas, United States","PROS Holdings, Inc. is a provider of pricing and margin optimization software. Its software products provide customers gain insight into",25000000,USD,25000000,Series A,"60,628",1,http://www.linkedin.com/company/pros,http://pros.com,
SolArc,https://www.crunchbase.com/organization/solarc,"Risk Management, Software, Trading Platform","Houston, Texas, United States",SolArc is a global provider of commodity trading and risk management solutions for leading companies in commodity-intensive markets.,25000000,USD,25000000,Series A,"184,334",1,https://www.linkedin.com/company/openlink-financial,http://www.solarc.com/index.html,
MobileLogic,https://www.crunchbase.com/organization/mobilelogic,"Consulting, Cyber Security, Information Technology, Mobile, Software, Telecommunications, Wireless","New York, New York, United States",MobileLogic is a provider of complete mobile business solutions.,25000000,USD,25000000,Series A,"282,751",1,,http://www.mobilelogic.com,
Aclima,https://www.crunchbase.com/organization/aclima,"Location Based Services, Sensor, Software","San Francisco, California, United States",Aclima delivers hyperlocal air quality data and insights to improve human and planetary health.,24000000,USD,24000000,Series A,139,1,https://www.linkedin.com/company/aclima-inc-,https://aclima.io/,"Davida Herzl, Reuben Herzl"
Grafana Labs,https://www.crunchbase.com/organization/raintank,"Analytics, Big Data, Information Technology, Infrastructure, Internet, Open Source, Software","New York, New York, United States","Grafana Labs is behind leading open source projects Grafana and Loki, and the creator of the first open & composable observability platform.",24000000,USD,24000000,Series A,"2,852",2,https://www.linkedin.com/company/grafana-labs/,http://grafana.com,"Anthony Woods, Raj Dutt, Torkel Ödegaard"
Tonkean,https://www.crunchbase.com/organization/tonkean,"Artificial Intelligence, Machine Learning, Software","San Francisco, California, United States","Tonkean is an AI powered operating system that autonomously manages, organizes and executes businesses' workflows.",24000000,USD,24000000,Series A,"23,652",5,https://www.linkedin.com/company/tonkean,https://tonkean.com,"Offir Talmor, Sagi Eliyahu"
Snackpass,https://www.crunchbase.com/organization/snackpass,"Apps, E-Commerce, Food and Beverage, Local, Mobile Apps, Social, Software","San Francisco, California, United States",Snackpass is a platform that focuses on mobile order pickup at local restaurants.,23517064,USD,23517064,Series A,"3,165",4,https://www.linkedin.com/company/snackpass/,https://www.snackpass.co/,"Jamie Marshall, Jonathan Cameron, Kevin Tan"
