Organization Name,Organization Name URL,Industries,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,CB Rank (Company),Number of Funding Rounds,LinkedIn,Website,Founders,Estimated Revenue Range,Trend Score (90 Days),Top 5 Investors,Headquarters Location,Investment Stage
Locqum,https://www.crunchbase.com/organization/locqum,"Health Care, Information Technology, Software",Locqum is a developer of the medical recruitment portal intended to help healthcare professionals find jobs.,5000000,USD,5000000,Series A,"23,634",1,https://www.linkedin.com/company/locqum/,https://locqum.com,,,-0.4,,"Pocatello, Idaho, United States",
Neji,https://www.crunchbase.com/organization/neji,"Computer, Information Technology, Robotics, Software",Neji is a venture-backed software company that is simplifying the business adoption of distributed ledger technology.,1500000,USD,1500000,Seed,"23,815",2,https://www.linkedin.com/company/neji-inc/,https://www.neji.io,,,-0.5,,"San Francisco, California, United States",
Griddable,https://www.crunchbase.com/organization/griddable-io,"Analytics, Big Data, Cloud Data Services, Data Integration, Information Technology, SaaS, Software",Salesforce has closed its acquisition of Griddable,8000000,USD,8000000,Series A,"24,978",1,https://www.linkedin.com/company/griddable-io/,https://griddable.io,"Chavdar Botev, Rajeev Bharadhwaj",,-0.5,"Artiman Ventures, August Capital","San Jose, California, United States",
Eastwind Networks,https://www.crunchbase.com/organization/eastwind-breach-detection,"Cloud Computing, Enterprise, Fraud Detection, SaaS",Eastwind Breach Detection is cloud-based breach detection for government and enterprise organizations,6500000,USD,6500000,Seed,"25,869",1,https://www.linkedin.com/company/east-wind-networks,http://www.eastwindnetworks.com,Paul Kraus,Less than $1M,-0.1,"Service Provider Capital, Signal Peak Ventures, Cybersecurity Investments","Westford, Massachusetts, United States",
Recast.AI,https://www.crunchbase.com/organization/recast-ai,"Artificial Intelligence, Collaboration, Machine Learning, SaaS",Recast.AI offers a chatbot development platform.,1000000,EUR,1111145,Seed,"26,156",1,,https://recast.ai,"Jasmine Anteunis, Julien Blancher, Omer Biran, Patrick Joubert",,-0.2,Kima Ventures,"Paris, Ile-de-France, France",
DrumG Technologies,https://www.crunchbase.com/organization/drumg-financial-technologies,"Blockchain, Financial Services, FinTech, Information Technology, Software",Building and operating next generation enterprise distributed-ledger based applications for the global financial services industry,6500000,USD,6500000,Series A,"27,019",1,https://www.linkedin.com/company/drumg-technologies/,https://www.drumg.com/,Tim Grant,$1M to $10M,-0.8,ConsenSys,"New York, New York, United States",
Planwise,https://www.crunchbase.com/organization/planwise,"Finance, FinTech, Personal Finance, Real Estate, Software",Planwise vision is to create technology that people trust to help them make financial decisions and take control of their personal economy.,750000,USD,750000,Seed,"27,098",4,http://www.linkedin.com/company/planwise,http://www.planwise.com,Vincent Turner,,0.2,"REACH, Second Century Ventures","San Mateo, California, United States",
Talent Sonar,https://www.crunchbase.com/organization/talentsonar,"Human Resources, Recruiting, Software",TalentSonar Enables Blind Resume Review To Remove Unconscious Bias From Recruiting,430000,USD,430000,Series A,"27,278",2,https://www.linkedin.com/company/talent-sonar,https://www.talentsonar.com,"Alvin Loh, Hui Dai, Laura Mather",,2.6,"Kapor Capital, Plum Alley, Floodgate, Correlation Ventures, Ignition Partners","Seattle, Washington, United States",
Fieldbook,https://www.crunchbase.com/organization/fieldbook,"Database, Enterprise Software, SaaS","Create a database, as easily as a spreadsheet",2200000,USD,2200000,Seed,"28,611",2,,https://fieldbook.com,"Ben Bernard, Jason Crawford",,1.1,"Accomplice, Pear Ventures, John Collison, Eric Ries, Naval Ravikant","San Mateo, California, United States",
ClusterHQ,https://www.crunchbase.com/organization/hybridcluster,"Artificial Intelligence, Cloud Computing, Database, Enterprise Software, Private Cloud, SaaS, Software",Cluster HQ is a Saas service to make container virtualisation useful for database driven services.,12000000,USD,12000000,Series A,"28,881",6,http://www.linkedin.com/company/hybrid-logic-ltd.,https://clusterhq.com/,"Luke Marsden, Rob Haswell",,0.9,"Canaan Partners, Accel, DN Capital, Episode 1, Toivo Annus","Bristol, Bristol, City of, United Kingdom",
Squad,https://www.crunchbase.com/organization/squad-2,"Mobile, Software","Grab your squad, swipe on other squads, and hang out if you match!",1700000,USD,1700000,Seed,"28,924",1,https://www.linkedin.com/company/10228103?trk=prof-exp-company-name,http://getsquad.co/,Adam Liebman,,-1.1,"Lerer Hippeau, RiverPark Ventures, First Round Capital, Brainchild Holdings","New York, New York, United States",
Confirm.io (Acquired by Facebook),https://www.crunchbase.com/organization/confirm,"Computer, Identity Management, Internet, Software","Confirm.io makes authenticating a government issued ID easy, fast & secure.",4000000,USD,4000000,Seed,"29,373",1,https://www.linkedin.com/company/confirmio,http://www.confirm.io/,"Bob Geiman, Ralph Rodriguez, Walt Doyle",,0.7,"Rho Ventures, Zelkova Ventures, Cava Capital, Meyer Keith","Boston, Massachusetts, United States",
Neumob,https://www.crunchbase.com/organization/neumob,"Cloud Computing, Infrastructure, Mobile, Mobile Apps, Software","Neumob is the leader in reducing mobile app errors, speeding up app performance and boosting conversions.",8500000,USD,8500000,Series A,"30,068",2,https://www.linkedin.com/company/neumob,https://www.neumob.com,"Jeff Kim, Junho Choi",,-0.2,"Square, Accel, Plug and Play, Menlo Ventures, Shasta Ventures","Sunnyvale, California, United States",
Symbolic IO Corporation,https://www.crunchbase.com/organization/symbolic-io,"Data Storage, Software",Symbolic IO is the first computational defined storage solution solely focused on advanced computational algorithmic compute engine.,12750000,USD,12750000,Series A,"30,101",3,http://www.linkedin.com/company/symbolic-io,http://www.symbolicio.com,Brian Ignomirello,,2.7,,"Holmdel, New Jersey, United States",
Drone Complier,https://www.crunchbase.com/organization/drone-complier,"Aerospace, Autonomous Vehicles, Compliance, Drone Management, Drones, Enterprise Applications, Navigation, Robotics, Software",Drone Complier is an enterprise-grade sUAS Compliance/ Operations Management Solution enabling cost effective commercial drone programs,,,,Seed,"30,575",2,https://www.linkedin.com/company/drone-complier,https://www.dronecomplier.com/,"Brian Whiteside, Wayne Rochat",$1M to $10M,-0.4,"Portland Seed Fund, Toivo Annus, Alliance of Angels, Rogue Venture Partners","West Linn, Oregon, United States",
Artillery,https://www.crunchbase.com/organization/artillery,"Software, Video Games, Web Development",Artillery turns modern web browser into a gaming console using HTML5 technology.,,,,Series A,"33,077",2,https://www.linkedin.com/company/artillery-games-inc-,https://www.artillery.com,"Ankur Pansari, Ian Langworth, Mark Logan, Mark Logan",,-1.3,"General Catalyst, Tencent Holdings, Andreessen Horowitz, First Round Capital, Tuesday Capital","Palo Alto, California, United States",
IP Commerce,https://www.crunchbase.com/organization/ip-commerce,"Accounting, Cloud Computing, E-Commerce, Payments, SaaS, Small and Medium Businesses, Software",The IP Commerce platform automates complex and multi-party commerce related processes for small and medium sized businesses.,,,,Series A,"33,185",6,https://www.linkedin.com/company/ip-commerce,https://www.ipcommerce.com/,"Alfred Kahn IV, David S. Johnson",,-0.1,"Intel Capital, Venrock, Service Provider Capital, TTV Capital, Transaction Network Services (TNS)","Denver, Colorado, United States",
Nomiku,https://www.crunchbase.com/organization/nomiku,"Hardware, Software",Nomiku creates tools that enable everyone to cook the best food possible.,,,,Seed,"33,622",12,http://www.linkedin.com/company/nomiku,http://www.nomiku.com,"Abe Fetterman, Lisa Fetterman, Wipop Suppipat",Less than $1M,0,"Y Combinator, HAX, SOSV, Backstage Capital, Slow Ventures","San Francisco, California, United States",
OceanOps,https://www.crunchbase.com/organization/oceanops,"B2B, Logistics, SaaS, Shipping, Supply Chain Management, Transportation",OceanOps is a SaaS platform that enables its users to mitigate delays to their ocean freight through dynamic re-routing,105000,EUR,116926,Pre-Seed,"34,170",1,https://www.linkedin.com/company/20161442/,,Saif Khalaf,,3.8,,"Rotterdam, Zuid-Holland, The Netherlands",
Candor USA,https://www.crunchbase.com/organization/candor-insurance,Software,Candor Insurance is a private health care exchange established to democratize health insurance.,1300000,USD,1300000,Seed,"35,503",2,https://www.linkedin.com/company/22316959/,https://candor.insurance/,"Good John, Max Howell",Less than $1M,1.9,,"Savannah, Georgia, United States",
"Scaphold, Inc. (acquired by Amazon)",https://www.crunchbase.com/organization/scaphold-inc,"Developer APIs, Developer Tools, Mobile Apps, Software, Web Apps",Scaphold is the world's most powerful GraphQL as a service platform.,,,,Seed,"35,892",4,https://www.linkedin.com/company-beta/10780129/?pathWildcard=10780129,https://www.scaphold.io,"Michael Paris, Vincent Ning",,0.6,"Y Combinator, Zillionize Angel","San Francisco, California, United States",
Elevated Careers,https://www.crunchbase.com/organization/elevated-careers,"Computer, Human Resources, Recruiting, Software","Elevated Careers is the first ever all-in-one employee engagement, employment branding and hiring platform.",400000,USD,400000,Series A,"36,017",3,https://www.linkedin.com/company-beta/25007980/,http://www.elevatedcareers.com/,"Christopher Daniels, Steve Carter",Less than $1M,-0.1,"Florida Funders, DeepWork Capital, Florida Institute for the Commercialization of Public Research, Miami Innovation Fund","Boca Raton, Florida, United States",
Ziptask,https://www.crunchbase.com/organization/ziptask,"Consulting, Finance, FinTech, Outsourcing, Software",Ziptask is an online outsourcing services platform that employs project managers to execute the projects of consumers and SMEs.,,,,Seed,"36,183",3,http://www.linkedin.com/company/ziptask,http://www.ziptask.com,"Jeff Sherwood, Shawn Livermore",,2.5,"Techstars, Kima Ventures, Right Side Capital Management, Amplify.LA, Techstars Cloud","Anaheim, California, United States",
Augur,https://www.crunchbase.com/organization/augur,"Advertising, Analytics, Artificial Intelligence, SaaS",Augur provides ad-tech agencies with cross-device and cross-channel attribution analytics.,750000,USD,750000,Seed,"37,156",4,,http://augur.io,"Brandon Jimenez, Nawar Alsafar, Paul Foley, Roger Pincombe",,2.9,"Techstars, Right Side Capital Management, iGan Partners, Techstars Boulder Accelerator, Rho Canada Ventures","Denver, Colorado, United States",
Zen99,https://www.crunchbase.com/organization/zen99,"Human Resources, Software",Tax and insurance tools for independent contractors.,2500000,USD,2500000,Seed,"37,248",2,https://www.linkedin.com/showcase/quickbooks/,https://www.tryzen99.com/,"Tristan Zier, Yan Lhert",,4.6,"Y Combinator, SV Angel, Tuesday Capital, Collaborative Fund, Upside Partnership","San Francisco, California, United States",
RiseML,https://www.crunchbase.com/organization/riseml,"Artificial Intelligence, Internet, Machine Learning, Software",RiseML creates software to help machine learning teams scale their deep learning infrastructure.,910600,USD,910600,Seed,"38,300",1,https://www.linkedin.com/company/27059945/,https://riseml.com,"Elmar Haussmann, Henning Peters",,0,"Fly Ventures, Paua Ventures, Adam Wiggins, Andreas Ehn, Mathias Kutzner","Berlin, Berlin, Germany",
Circle.us,https://www.crunchbase.com/organization/circle-us,"Delivery, E-Commerce, Software, Trading Platform",Circle.us is a web-based system integrates with multiple selling channels and carriers to streamline the order shipping and fulfillment.,4000000,USD,4000000,Series A,"38,491",2,,https://circle.us/,Max Fu,Less than $1M,-0.6,"Capital Nuts Investment Management Ltd, RiverHill Fund, Zhejiang Huamei Holding","Newark, Delaware, United States",
Envelop VR,https://www.crunchbase.com/organization/envelop-vr,"B2B, Enterprise Software, Software, Virtual Reality","Envelop VR builds software that enables people to create, work and play in virtual reality.",5500000,USD,5500000,Series A,"38,902",2,https://www.linkedin.com/company/envelop-vr,http://www.envelopvr.com,Bob Berry,,0,"Madrona Venture Group, GV, Acequia Capital (Acecap), Howard Morgan, Alliance of Angels","Bellevue, Washington, United States",
ExpenseBot,https://www.crunchbase.com/organization/expensebot,"B2B, Enterprise Software, Finance, Financial Services, Software",Automatic Expense Reports Powered by Predictive Analytics and Machine Learning,250000,USD,250000,Seed,"40,448",6,http://www.linkedin.com/company/expensebot,https://expensebot.com,"Ed Buchholz, John Siladie",,0.1,"Techstars, Kima Ventures, Right Side Capital Management, JumpStart, Marc Bell Ventures","Cleveland, Ohio, United States",
FunnelWise,https://www.crunchbase.com/organization/funnelwise,"Analytics, Marketing Automation, Software",FunnelWise provides focus and depth of key funnel metrics to give sales and marketing a direct path to increase revenue and drive results.,7000000,USD,7000000,Series A,"40,516",1,https://www.linkedin.com/company/funnelwise,https://www.funnelwise.com/,Matt Ostanik,Less than $1M,-0.3,,"West Des Moines, Iowa, United States",
Reaction,https://www.crunchbase.com/organization/reaction,"Architecture, GreenTech, Manufacturing, Software",Reaction designs and manufactures hardware and software to (re)meet a basic human need: shelter.,9800000,USD,9800000,Series A,"40,527",7,http://www.linkedin.com/company/reaction-systems-inc.,http://www.reactioninc.com,Michael McDaniel,,0.7,"SanDisk, ff Venture Capital, Brendan Wallace, Rothenberg Ventures, Tom McInerney","Austin, Texas, United States",
Perfect Dashboard Inc.,https://www.crunchbase.com/organization/perfectdashboard,"B2B, Internet, SaaS, Software, Web Hosting",Perfect Dashboard is building a marketplace for $19B web-hosting industry bringing innovation to the long tail of website owners.,,,,Seed,"40,950",5,https://www.linkedin.com/company/perfectdashboard/,https://perfectdashboard.com/,"Aleksander Kuczek, Bartek Jazwinski, Piotr Moćko",,0,"Berkeley SkyDeck Fund, Cobin Angels, Experior Venture Fund, Ali Omar, Chris Burry","Berkeley, California, United States",
Complex Polygon,https://www.crunchbase.com/organization/complex-polygon,"Apps, Mobile Apps, Software","Complex Polygon is a product studio based in San Francisco, California.",1700000,USD,1700000,Seed,"42,296",1,,http://complexpolygon.com/,"Addison Hardy, Marwan Roushdy",,1.8,"Greylock, Khosla Ventures, SV Angel, Slow Ventures, First Round Capital","San Francisco, California, United States",
Bowery,https://www.crunchbase.com/organization/bowery,"Enterprise Software, Information Technology, Internet, Software, Virtualization",Bowery is an environment management system that helps you deploy what you code into production.,,,,Series A,"42,309",3,,http://bowery.io,"David Byrd, Steve Kaliski, Zachary Hamed",,-0.5,"GV, SV Angel, Boldstart Ventures, Bloomberg Beta, Dorm Room Fund","New York, New York, United States",
Dojo App,https://www.crunchbase.com/organization/dojo-app,"Media and Entertainment, Mobile Apps, Software",Dojo is a mobile app that helps in finding leisures in the area.,,,,Seed,"42,713",2,https://www.linkedin.com/company/dojoapp/about/,https://www.dojoapp.co/,,,-0.2,"Playfair Capital, JamJar Investments, London Co-Investment Fund, SAATCHiNVEST, Harry Briggs","London, England, United Kingdom",
GripeO,https://www.crunchbase.com/organization/gripeo,"Advertising, Customer Service, Lead Generation, Mobile, SaaS, Social Media Marketing",Submit your customer service issue with GripeO.,250000,USD,250000,Seed,"42,835",3,http://www.linkedin.com/company/2815189,https://www.gripeo.com,"Jim Proulx, Mark Taylor, Michael Klanac, Nicholas Campanile, Richard Panek, Steve Makula",,3.3,"Z80 Labs Technology Incubator, SeedSumo","Buffalo, New York, United States",
EasyRent,https://www.crunchbase.com/organization/easyrent-com,"FinTech, Property Insurance, Property Management, Real Estate, Rental Property, SaaS, Software","Easy to use SaaS Rental Property Software for Landlords, Owners, and Investors. Listings, Screening, Leases, and Accepting Rent Online.",,,,Seed,"43,148",2,https://www.linkedin.com/company/easyrent-com,https://easyrent.com,Ben Gabler,$1M to $10M,-0.6,,"Bloomington, Minnesota, United States",
Staffjoy,https://www.crunchbase.com/organization/staffjoy,"Artificial Intelligence, Consulting, Human Resources, Information Technology, SaaS, Scheduling, Small and Medium Businesses, Software",Staffjoy helps automate the process of scheduling shifts for businesses to help managers staff effectively.,1200000,USD,1200000,Seed,"43,262",3,https://www.linkedin.com/company/6612912,https://www.staffjoy.com/,"Andrew Hess, Philip I. Thomas",,-0.2,"Y Combinator, Haystack, Brainchild Holdings, Caffeinated Capital, E-Merge","San Francisco, California, United States",
Klarismo,https://www.crunchbase.com/organization/klarismo,"Analytics, Fitness, Health Care, Personal Health, Software, Wellness",Klarismo uses MRI technology to give you a new way to explore your physiology and understand your body composition in unprecedented detail.,245000,USD,245000,Seed,"43,586",3,https://www.linkedin.com/company/klarismo,http://www.klarismo.com/,"Jack Kreindler, Marcus Foster",$1M to $10M,-0.1,"Y Combinator, Khosla Ventures, Lowercase Capital, Wei Guo, David Lee","London, England, United Kingdom",
"SoluTech, Inc.",https://www.crunchbase.com/organization/solutech-inc,"Blockchain, Enterprise Software, Internet of Things, Software",SoluTech is innovating the power of peer to peer technologies to positively impact industries today.,1000000,USD,1000000,Seed,"44,136",1,https://www.linkedin.com/company/11266460/,,"Joseph Nicklas, Khashab Khashab, Mia Sumra, Nathan Pitruzzello, Samuel Opper",,-0.4,,"New Haven, Connecticut, United States",
Control Mobile,https://www.crunchbase.com/organization/control-mobile,"Apps, Big Data, Business Intelligence, E-Commerce, Financial Services, FinTech, Information Technology, Payments, SaaS, Software","Control Mobile offers payment analytics and alerts platform for SaaS, subscription, and commerce businesses.",1500000,CAD,1213725,Seed,"45,394",3,https://www.linkedin.com/company/control/,,Kathryn Loewen,,-0.2,"Vanedge Capital, Mastercard Start Path, BDC Capital Corporation, HIGHLINEvc","Vancouver, British Columbia, Canada",
Realine Technology,https://www.crunchbase.com/organization/realine-technology,"B2B, Logistics, Software",Realine Technology is an automation and communication platform for the logistics industry.,2450000,USD,2450000,Seed,"45,540",2,,http://wwww.realine.ai/,"Daniel Yunes, Lucas Kafarski",,3.6,"Autotech Ventures, Bojiang Capital, Tandem Capital","Burlingame, California, United States",
Metal Networks Inc.,https://www.crunchbase.com/organization/metal-networks,"Commercial, Industrial, Software",Metal Networks is the worldwide solution for buying and selling semi-finished industrial metal.,5000000,USD,5000000,Series A,"45,586",1,,http://metalnetworks.com,Jeremy Chapman,$1M to $10M,-0.2,S3 Ventures,"Austin, Texas, United States",
Eve,https://www.crunchbase.com/organization/eve,"Apps, Developer APIs, Developer Tools, iOS, Mobile Apps, Software","Eve provides easy access tools for non-programmers to develop computational programs, websites, databases, etc.",2300000,USD,2300000,Seed,"46,043",1,https://www.linkedin.com/company/witheve/,http://witheve.com/,Chris Granger,,2.7,"Sam Altman, Chris Dixon, Sep Kamvar","Headquarters, Idaho, United States",
Rithmio,https://www.crunchbase.com/organization/rithmio,"Embedded Software, Machine Learning, Software, Wearables",Rithmio is a gesture recognition company that provides motion recognition software for wearables and connected clothing.,3000000,USD,3000000,Seed,"46,435",3,http://www.linkedin.com/company/rithmio,http://rithmio.com/,"Adam Tilton, Prashant Mehta",,2.2,"Intel Capital, Hyde Park Angels (HPA), OCA Ventures, Hyde Park Venture Partners, Serra Ventures","Chicago, Illinois, United States",
Cnverg,https://www.crunchbase.com/organization/cnverg,"Collaboration, Data Visualization, Developer Tools, SaaS",Visual Planning + Strategy for Product Development Teams: a real-time whiteboard for GitHub and Trello.,,,,Seed,"47,299",5,https://www.linkedin.com/company/cnverg,http://Cnverg.com,"John Kirk, Richard Prieto",Less than $1M,-0.5,"Dreamit Ventures, Larry Bernstein, ic@3401","Wilmington, Delaware, United States",
"Staffly, Inc.",https://www.crunchbase.com/organization/staffly-inc,"Consulting, Mobile Devices, Recruiting, Software","Staffly instantly connects retailers with screened, insured, and trained Staffly™ Staffers through their mobile devices.",1250000,USD,1250000,Seed,"47,365",1,https://www.linkedin.com/company/4851264,http://staffly.com,"Bjorn Ovick, Marissa Ovick",,2.6,"AngelList, ff Venture Capital, LionBird, Three Fish Capital, WS Ventures Management","San Francisco, California, United States",
YesPath,https://www.crunchbase.com/organization/yespath,"Advertising, Marketing, SaaS, Software",YesPath is the Account Engagement Platform that helps sales teams reach and win big accounts.,1700000,USD,1700000,Seed,"47,854",1,https://www.linkedin.com/company/yespath,http://yespath.com,"Brian Zotter, Jason Garoutte",,2,"Wing Venture Capital, Bloomberg Beta, Storm Ventures","San Francisco, California, United States",
Arbré,https://www.crunchbase.com/organization/arbré-technologies-llc,"Agriculture, AgTech, Aquaculture, Cannabis, Farming, Flowers, GreenTech, Information Technology, SaaS, Software",Arbré is a Wisconsin-based tech startup that aims to revolutionize asset management for tree nurseries and other green asset companies.,600000,USD,600000,Seed,"48,972",2,https://www.linkedin.com/company/arbretech/,https://www.arbretech.com,"Benjamin Meyers, Matthieu Vollmer",Less than $1M,-0.3,"BrightStar Wisconsin Foundation, Winnebago Seed Fund","Stevens Point, Wisconsin, United States",
OUTRO,https://www.crunchbase.com/organization/outro,"B2B, Crowdsourcing, Enterprise Software, Internet, Lead Generation, Marketing Automation, SaaS, Sales Automation, Software",B2B SaaS Referral Automation Platform + Crowdsourced Introductions. Say goodbye to manually making & receiving referrals/introductions.,1000000,USD,1000000,Seed,"49,136",2,http://www.linkedin.com/company/getoutro,http://outro.com,"Bubba Page, Cache Merrill, David Oldham",,-0.6,"Techstars, Right Side Capital Management, Peterson Ventures, Kickstart, Techstars Boulder Accelerator","Salt Lake City, Utah, United States",
Credits,https://www.crunchbase.com/organization/credits,"B2B, Financial Services, FinTech, Software",Blockchain Platform-As-A-Service,386000,GBP,556827,Seed,"49,751",1,https://www.linkedin.com/company/creditsprotocol,http://credits.vision,"Eric Benz, Nick Williamson",$1M to $10M,-0.3,"BnkToTheFuture, Business Instincts Group","London, England, United Kingdom",
Immediately,https://www.crunchbase.com/organization/immediately,"Email, Marketing, SaaS",Helping salespeople spend more time selling,2000000,USD,2000000,Seed,"50,415",3,,http://www.immediatelyapp.com/,"Arjun Dev Arora, Branko Cerny, James Mock",,-0.4,"Kima Ventures, Streamlined Ventures, Unshackled Ventures, Marc Bell Ventures, Naval Ravikant","San Francisco, California, United States",
Distributed Masonry,https://www.crunchbase.com/organization/distributed-masonry,"Cloud Computing, Developer APIs, Information Technology, Software","Distributed Masonry designs, builds, and supports real-time data storage and streaming products.",500000,USD,500000,Seed,"50,896",1,,http://www.pyrostore.io,"Lucas Bradstreet, Michael Drogalis",,2.1,,"Seattle, Washington, United States",
Wondermento,https://www.crunchbase.com/organization/wondermento,"Hardware, Software, Wearables",Wondermento is a digital company that links to your physical world. We create apps that interact with lovingly made connected devices.,,,,Seed,"51,039",3,http://www.linkedin.com/company/wondermento,http://wonderwoof.com,Betsy Fore,,0.5,"Prosper Women Entrepreneurs, Valmiki Capital Management","Brooklyn, New York, United States",
"Dual Aperture International, Inc.",https://www.crunchbase.com/organization/dual-aperture-international-inc-,"3D Technology, Apps, Image Recognition, Sensor, Software",Smart sensor company using RGB-IR to improve picture quality and enable 3-D,1400000,USD,1400000,Series A,"51,689",2,,http://www.dual-aperture.com,"Andrew Wajs, Chong-Min Kyung, David D. Lee",,0.9,"SK Telecom, eWBM, Value Invest Korea (VIK)","Santa Clara, California, United States",
Scroll,https://www.crunchbase.com/organization/scroll-network,"Blockchain, Enterprise Software, Peer to Peer, SaaS, Software",Scroll aims to usher in a new world of data privacy through creation of decentralized tools that empower users.,1000000,USD,1000000,Seed,"51,938",3,https://www.linkedin.com/company/scrollnetwork/,https://www.scroll.network/,"Joseph Nicklas, Khashab Khashab, Mia Sumra, Nathan Pitruzzello, Samuel Opper",,-0.4,,"New Haven, Connecticut, United States",
Studio,https://www.crunchbase.com/organization/studio,"Apps, Internet, Social Media, Software",Studio is a social design platform that allows users to browse and remix designs from other users.,875000,USD,875000,Seed,"52,292",3,,http://madewithstudio.com,"Joe Wilson, Kevin Heap, Spencer Smith",Less than $1M,-0.5,"SV Angel, Kickstart, Tuesday Capital, Ashton Kutcher, Album VC","Provo, Utah, United States",
