IPO Status,Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,CB Rank (Company),Number of Funding Rounds,LinkedIn,Website,Founders,Estimated Revenue Range,Trend Score (90 Days),Top 5 Investors
Private,Qualified.com,https://www.crunchbase.com/organization/qualified-com,"B2B, CRM, Marketing, Marketing Automation, Sales, Sales Automation","San Francisco, California, United States",Qualified.com is a B2B marketer that allows buyers and sales reps to connect through real-time website conversations.,12000000,USD,12000000,Series A,"10,465",2,https://www.linkedin.com/company/qualified-com/about/,https://www.qualified.com,"Bing Yang, Gopal Patel, Kraig Swensrud, Sean Whiteley, Thani Suchoknand",Less than $1M,2.7,"Salesforce Ventures, Redpoint, Norwest Venture Partners"
Private,Moov,https://www.crunchbase.com/organization/moov-technologies-inc,"B2B, Information Technology, Software","San Francisco, California, United States",Moov is a software platform for buying and selling preowned manufacturing equipment.,2400000,USD,2400000,Seed,"10,910",2,https://www.linkedin.com/company/moov-technologies-inc,https://www.moov.co,"Maxam Yeung, Steven Zhou",Less than $1M,1,"NFX, Decent Capital, Great Oaks Venture Capital, Darco Capital"
Private,TapRm,https://www.crunchbase.com/organization/taprm,"B2B, B2C, Courier Service, E-Commerce, Food and Beverage, Last Mile Transportation, Logistics, Retail, Wine And Spirits","Brooklyn, New York, United States",Beer E-Commerce and Distribution,1500000,USD,1500000,Seed,"11,145",3,https://www.linkedin.com/company/33253251,https://taprm.com,Jason Sherman,,-0.3,"Branded Strategic Hospitality, VU Venture Partners, Branded Hospitality Ventures, The Broe Group"
Private,Datch,https://www.crunchbase.com/organization/datch,"Asset Management, B2B, Enterprise Resource Planning (ERP), Enterprise Software, SaaS","San Francisco, California, United States",Datch operates as an intelligent voice interface for industrial environments.,3200000,USD,3200000,Seed,"11,153",4,https://www.linkedin.com/company/datch/,https://www.datch.io,Mark Fosdike,,7.6,"Acceleprise, Plug and Play, Blue Bear Capital, Stage Venture Partners, Predictive Venture Partners"
Private,Kronologic,https://www.crunchbase.com/organization/kronologic,"B2B, Business Development, Enterprise Software, Marketing Automation, Sales Automation, Scheduling","Austin, Texas, United States",Kronologic develops a calendar monetization platform that converts sales leads into meetings.,3500000,USD,3500000,Seed,"11,256",2,https://www.linkedin.com/company/28147199/admin/updates,https://www.kronologic.ai,"Aaron Bollinger, Ben Parker, Christopher Lee, Trey Allison",Less than $1M,6.5,"Next Coast Ventures, Silverton Partners, Geekdom Fund, Andrew Busey, Longview Partners"
Private,Convictional,https://www.crunchbase.com/organization/convictional,"B2B, E-Commerce, Software, Trading Platform","Waterloo, Ontario, Canada","Convictional is a B2B Trade Enablement Network. We enabled buyers to source, onboard, and integrate with their trading partners.",2200000,USD,2200000,Seed,"11,338",3,https://www.linkedin.com/company/convictional/,https://convictional.com,"Chris Grouchy, Roger Kirkness",,1.9,"Y Combinator, FundersClub, Lachy Groom, Tribe Capital, Garage Capital"
Private,AllVoices,https://www.crunchbase.com/organization/allvoices-6415,"Analytics, B2B, Human Resources, Information Technology, Small and Medium Businesses, Software","Santa Monica, California, United States","AllVoices is an anonymous reporting tool that enables anyone to report harassment, bias, & culture issues directly to company leadership. ",3000000,USD,3000000,Seed,"12,238",3,https://linkedin.com/company/allvoicesco,http://www.allvoices.co,Claire Schmidt,,2.4,"Spencer Rascoff, Greycroft, Halogen Ventures, VitalizeVC, Crosscut Ventures"
Private,RevOps,https://www.crunchbase.com/organization/revops,"B2B, Consulting, Information Technology, Marketing, Software","San Francisco, California, United States","RevOps, a CPQ company made for Software Businesses, helps Sales close deals faster with automation in the buying process.",1600000,USD,1600000,Seed,"12,710",1,https://www.linkedin.com/company/revops/,https://www.revops.io,"Adam Ballai, John Solis",,2.8,"Gradient Ventures, Caffeinated Capital"
Private,Reibus International,https://www.crunchbase.com/organization/reibus-international,"B2B, E-Commerce, Industrial, Marketplace, SaaS, Supply Chain Management","Atlanta, Georgia, United States",B2B Ecommerce Platform for the Industrial Metals Market,3250000,USD,3250000,Seed,"13,008",2,https://www.linkedin.com/company/reibus-international/,https://reibus.com,"David Bain, John Armstrong",$1M to $10M,1.6,"Initialized Capital, Bowery Capital, Stage 2 Capital"
Private,Back Office,https://www.crunchbase.com/organization/back-office-co,"Accounting, B2B, Consulting, FinTech, Information Technology, Software","West Palm Beach, Florida, United States",Back Office is a technology-based company that helps small businesses by automating their bookkeeping and accounting.,,,,Seed,"13,124",3,https://www.linkedin.com/company/back-office.co/,http://www.backoffice.co,"Edwin Mejia, Felix Rodriguez, Glennys Rodriguez",$10M to $50M,-0.7,"500 Startups, Plug and Play, Active Capital, 500 Fintech"
Private,Unbox Robotics,https://www.crunchbase.com/organization/unboxrobotics-labs,"Artificial Intelligence, B2B, Industrial Automation, Internet of Things, Logistics, Machine Learning, Robotics, Supply Chain Management","Bangalore, Karnataka, India","Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.",550000,USD,550000,Seed,"13,430",2,https://www.linkedin.com/company/unboxrobotics/,https://unboxrobotics.com/,"Pramod Ghadge, Shahid Memon",,-2.8,"Entrepreneur First, HAX, SOSV, Arali Ventures, CIIE | Centre for Innovation Incubation and Entrepreneurship"
Private,Orderchamp,https://www.crunchbase.com/organization/orderchamp,"B2B, E-Commerce, E-Commerce Platforms, Marketplace, PaaS","Amsterdam, Noord-Holland, The Netherlands","Wholesale, Marketplace,  Ecommerce, Retail",3000000,EUR,3314924,Seed,"13,619",1,https://www.linkedin.com/company/orderchamp,https://www.orderchamp.com,"Dennis Cuijpers, Joost Brugmans, Max Verduyn, Ruud Stelder",,-0.1,henQ
Private,Tajir,https://www.crunchbase.com/organization/tajir,"B2B, E-Commerce, Marketplace, Retail","Lahore, Punjab, Pakistan",Tajir is a B2B marketplace for mom and pop stores.,1800000,USD,1800000,Seed,"13,633",2,https://www.linkedin.com/company/tajir-app/,https://www.tajir-app.com/,"Babar Khan, Ismail Khan",,4.7,"Y Combinator, VentureSouq, Pioneer Fund, Golden Gate, Matt Caspari"
Private,ApexQubit,https://www.crunchbase.com/organization/apexqubit,"Artificial Intelligence, B2B, Biotechnology, Information Technology, Life Science, Machine Learning, Quantum Computing, Therapeutics","Berkeley, California, United States",ApexQubit is a biotechnology company that is harnessing frontier technologies for discovery of new medicines and better health for humanity.,220000,USD,220000,Non-equity Assistance,"14,182",5,https://www.linkedin.com/company/apexqubit/,https://www.apexqubit.com/,"Denis Farnosov, Nihil Khaine",,-2.2,"HealthInc, Nvidia Inception, Overkill Ventures"
Private,Datarade,https://www.crunchbase.com/organization/datarade,"B2B, Big Data, Information Technology, SaaS, Software","Berlin, Berlin, Germany","Datarade helps data-driven companies find, compare, and choose the right commercial data products.",1000000,EUR,1100515,Seed,"14,448",3,https://www.linkedin.com/company/datarade,https://datarade.ai,Thani Shamsi,,2.7,"Techstars, High-Tech Grunderfonds, Hasso Plattner Institute"
Private,Fundraise Up,https://www.crunchbase.com/organization/fundraise-up,"B2B, E-Commerce, Enterprise Software, FinTech, Non Profit, Payments, Social Impact","New York, New York, United States",Engineered for serious online fundraising.,1250000,USD,1250000,Seed,"14,791",4,https://www.linkedin.com/company/fundraiseup/,https://fundraiseup.com,"Anton Isaykin, Peter Byrnes, Yuriy Smirnov",$1M to $10M,-0.1,Splash Capital
Private,Bazaar Technologies,https://www.crunchbase.com/organization/bazaar-technologies,"B2B, E-Commerce, Retail","Karachi, Sindh, Pakistan",Bazaar is an online marketplace that connects retailers directly with wholesalers and manufacturers.,1300000,USD,1300000,Pre-Seed,"14,986",1,https://www.linkedin.com/company/bazaartechnologies/,https://www.bazaar-tech.com/,"Hamza Jawaid, Saad Jangda",,9.9,"Indus Valley Capital, Alter Global"
Private,illumnus,https://www.crunchbase.com/organization/illumnus,"B2B, E-Learning, Education, SaaS, Software","Pune, Maharashtra, India","An innovative EdTech startup from IITB & BITS alumni, offering B2B SaaS-based collaborative LMS for Schools and Universities",100000,USD,100000,Seed,"16,238",3,https://www.linkedin.com/company/illumnus/,https://illumnus.com,Akash Deep Singhal,,6.9,23 High Networth Individuals (HNIs)
Private,Lexset,https://www.crunchbase.com/organization/lexset,"Artificial Intelligence, Augmented Reality, B2B, Computer Vision, Image Recognition, Robotics, Supply Chain Management","Brooklyn, New York, United States","LexSet, better data for better vision. Solving the training data problem for computer vision by simulating the world in 3D.",250000,USD,250000,Grant,"16,978",3,,https://www.lexset.ai/,"Azam Khan, Francis Bitonti, Leslie Karpas",Less than $1M,-0.8,"Verizon Communications, XRC Labs, Particle Accelerator Limited, Super Ventures, Gavon Renfroe"
Private,Kambr,https://www.crunchbase.com/organization/kambr,"Aerospace, B2B, Consulting, Media and Entertainment, Software, Travel","Amsterdam, Noord-Holland, The Netherlands","Raising airline revenue performance through Software, Consultancy and Content.",4000000,USD,4000000,Seed,"17,453",1,https://www.linkedin.com/company/kambr/,https://www.kambr.com/,"Chris Anthony, Jason Kelly, Martin Kaduc, Michael Peters",Less than $1M,-0.3,"GGV Capital, Global Founders Capital, Founder Collective, Studio VC, Silicon Badia"
Private,Casted,https://www.crunchbase.com/organization/casted,"B2B, Information Technology, Podcast, Software","Indianapolis, Indiana, United States",Casted is the first platform for B2B podcasting that helps B2B Podcasters and Content Marketers be more effective.,2500000,USD,2500000,Seed,"17,877",1,https://www.linkedin.com/company/gocasted/,https://casted.us/,"Adam Patarino, Lindsay Tjepkema, Zachary Ballenger",,-0.1,"Elevate Ventures, High Alpha, Tappan Hill Ventures"
Private,DesignerInc,https://www.crunchbase.com/organization/designerinc,"B2B, E-Commerce, Furniture, Interior Design, Lighting, Marketplace","Palo Alto, California, United States","A trade-only, B2B ecommerce marketplace for the interior design industry",100000,USD,100000,Pre-Seed,"17,941",3,https://www.linkedin.com/company/designer-inc.,https://www.designerinc.com,"Dorothee Gutierrez Fisher, Heather Gillette",Less than $1M,3.1,"Plug and Play, StartFast, Mauro Del Rio, Nasir Ali, Chuck Stormon"
Private,omniX labs,https://www.crunchbase.com/organization/omnix-labs,"Analytics, Artificial Intelligence, B2B, Image Recognition, Machine Learning, SaaS, Software","New York, New York, United States",Solving analytics for the physical world.,,,,Pre-Seed,"18,460",4,https://www.linkedin.com/company/omnixlabs/,http://www.omnixlabs.com,"Anoop Kanthan, Muthla Al-Sayer",,-0.1,"Techstars, Newark Venture Partners, IDEO, Techstars Dubai"
Private,Classplus,https://www.crunchbase.com/organization/xprep,"B2B, E-Learning, EdTech, Education, Mobile Apps","Noida, Uttar Pradesh, India",Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,9000000,USD,9000000,Series A,"18,744",7,https://www.linkedin.com/company/10177906/,https://classplusapp.com/,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Vatsal Rustagi",$1M to $10M,-0.8,"Blume Ventures, Omidyar Network, Sequoia Capital India, Lightspeed Venture Partners, RTP Global"
Private,Bliinx,https://www.crunchbase.com/organization/bliinx,"B2B, Business Intelligence, Enterprise, Enterprise Applications, Enterprise Software, Information Technology, Project Management, SaaS, Sales Automation, Software","Montréal, Quebec, Canada",Relationship Productivity for business professionals,1000000,CAD,713444,Pre-Seed,"18,892",2,https://www.linkedin.com/company/bliinx/about/,https://www.bliinx.com/,,,3.5,"500 Startups, AltaIR Capital, Panache Ventures"
Private,Nowaday,https://www.crunchbase.com/organization/nowaday,"B2B, Hotel, Information Services, Restaurants, Transportation, Travel, Travel Agency","New York, New York, United States",Nowaday is a operator of a vintage city tour service designed to make visitors experience the vintage era of the city.,3500000,USD,3500000,Seed,"19,729",1,https://www.linkedin.com/company/nowaday/,https://www.nowaday.com/,"Heather Stupi, Jaime Getto",,-0.5,"Greycroft, The Raine Group, Pritzker Group Venture Capital"
Private,Buymed,https://www.crunchbase.com/organization/buymed,"B2B, E-Commerce Platforms, Health Care, Medical, Pharmaceutical","Ho Chi Minh City, NA - Vietnam, Vietnam",Buymed is a B2B Healthcare and Personalcare Distribution Platform in Vietnam,2500000,USD,2500000,Seed,"20,514",2,https://www.linkedin.com/company/buymedsingapore/,https://thuocsi.vn,Hiep Nguyen,,-1.8,"Sequoia Capital India, Genesia Ventures, Cocoon Capital, Viet Capital Ventures"
Private,Vermeer,https://www.crunchbase.com/organization/vermeer-ff96,"B2B, Drone Management, Drones, Service Industry, Software","New York, New York, United States",AR enabled drone photo & video on demand,,,,Pre-Seed,"21,476",4,https://www.linkedin.com/company/vermeerapp/?viewAsMember=true,https://getvermeer.com,Brian Streem,$1M to $10M,0,"Techstars, SeedInvest, Valor Ventures, Shu Duan, James Han"
Private,Dreamdata.io,https://www.crunchbase.com/organization/dreamdata-io,"Analytics, B2B, Cloud Data Services, Data Integration, Data Visualization, Machine Learning, Predictive Analytics","Copenhagen, Hovedstaden, Denmark",Data driven decisions for B2B companies.  Adjust your channels and touchpoints to drive optimal growth for your business.,535000,USD,535000,Pre-Seed,"21,596",1,https://www.linkedin.com/company/dreamdata-io/,https://dreamdata.io,"Lars Grønnegaard, Ole Dallerup, Steffen Hedebrandt",,-0.2,"Seedcamp, PreSeed Ventures, David Helgason, Christian Jantzen, The Nordic Web Ventures"
Private,Undock,https://www.crunchbase.com/organization/undock,"B2B, Productivity Tools, Unified Communications","Brooklyn, New York, United States","Undock helps people instantly schedule, host and document meetings.",100000,USD,100000,Seed,"21,907",1,https://www.linkedin.com/company/undock/,http://undock.com/,,,6.6,Entrepreneurs Roundtable Accelerator
Private,BSAMPLY,https://www.crunchbase.com/organization/bsamply,"B2B, Data Integration, E-Commerce, Fashion, Operating Systems, SaaS, Sales Automation, Software, Textiles","Los Angeles, California, United States",BSAMPLY is a B2B Sales Platform designed to make sales processes easier and faster. From research to purchase.,100000,USD,100000,Seed,"23,458",3,https://www.linkedin.com/company/bsamply/,https://bsamply.com/,"Andrea Fiume, Federico Bianchi",Less than $1M,-3.9,"Riccardo Braglia, Andrea Fiume, Stefano Musso, M.A. M"
Private,ZTL Payment Solution,https://www.crunchbase.com/organization/ztl-payment-solution,"B2B, FinTech, Payments","Oslo, Oslo, Norway",ZTL Payment Solution is a B2B payment platform providing clients with customized payment solutions.,2450000,EUR,2655250,Seed,"23,590",7,https://www.linkedin.com/company/ztl-payment-solution/,https://ztlpay.io/,Andreas Bjerke,,-0.6,
Private,Approve.com,https://www.crunchbase.com/organization/approvedotcom,"B2B, Procurement, SaaS","Tel Aviv, Tel Aviv, Israel",Approve is a modern procurement platform helping businesses streamline purchasing workflows and vendor interactions.,5000000,USD,5000000,Seed,"24,096",3,https://www.linkedin.com/company/approvesoftware,https://www.approve.com,"Amit Mittelman, Bar Winkler, Shlomy Amsalem",,9,"Techstars, Aleph, Danny Leshem, Barclays Accelerator, Powered by Techstars - Tel Aviv, Yuval Ariav"
Private,Laserfocus,https://www.crunchbase.com/organization/laserfocus,"B2B, CRM, Sales, Sales Automation, Software","San Francisco, California, United States",Laserfocus helps streamline sales processes to help increase sales productivity.,,,,Seed,"25,634",2,https://www.linkedin.com/company/laserfocus,https://www.laserfocus.io/,"Daniel Dinh, Marc Höffl",,-0.6,"Y Combinator, AltaIR Capital"
Private,vencortex,https://www.crunchbase.com/organization/vencortex,"Artificial Intelligence, B2B, Enterprise Software, Machine Learning, PaaS, Predictive Analytics, SaaS, Software","Kassel, Hessen, Germany",Decision augmentation for the Intelligent Enterprise,625000,EUR,703212,Grant,"25,847",4,https://www.linkedin.com/company/vencortex,https://www.vencortex.io,"Adrian Calma, Dr. Domink Dellermann",,-0.3,"Hessenagentur, Wirtschafts- und Infrastrukturbank Hessen, Space3ac, Confidential ."
Private,Trimwire,https://www.crunchbase.com/organization/trimwire,"B2B, Financial Services, FinTech, Information Technology, SaaS","Mountain View, California, United States",Trimwire is a fintech platform that monitors spending and applies discounts to recurring expenses.,150000,USD,150000,Seed,"26,077",2,https://www.linkedin.com/company/trimwire,https://trimwire.com,"David Shi, Kevin Joo",,-0.4,Y Combinator
Private,Tangany,https://www.crunchbase.com/organization/tangany,"B2B, Blockchain, Cloud Infrastructure, Cryptocurrency, SaaS","Munich, Bayern, Germany",Tangany is a regulated European blockchain custody provider for companies (B2B SaaS).,,,,Seed,"26,620",2,https://www.linkedin.com/company/tangany,https://tangany.com,"Alexey Utin, Christopher Zapf, Hans Nickel, Martin Kreitmair",$1M to $10M,3.8,"High-Tech Grunderfonds, Philipp Treuner"
Private,yBANQ,https://www.crunchbase.com/organization/ybanq,"B2B, Financial Services, FinTech, Management Consulting","Bengaluru, Karnataka, India","YbanQ helps businesses grow by simplifying collections, managing payouts, and reconciliation.",150000,USD,150000,Seed,"26,648",1,https://www.linkedin.com/company/ybanq/,https://ybanq.com/,"Ahamed Shah, Ganesh Mallya",,0,Y Combinator
Private,SOTE,https://www.crunchbase.com/organization/sote,"B2B, Big Data, Freight Service, Logistics, SaaS, Software, Warehousing","San Francisco, California, United States",Sote is a digital customs clearing and freight forwarding company.,205000,USD,205000,Convertible Note,"26,738",3,https://www.linkedin.com/company/sotelogistics/,https://getsote.com/,"Felix Orwa, Meka Este-McDonald, Scott Yacko",Less than $1M,-0.3,"Acceleprise, Unshackled Ventures, Consonance Investment Managers, Sandy Kory, Liz Dunn & Dorion Carroll Adolco"
